Территория;Год;кадры высшей квалификации;высшее образование;неполное высшее образование;среднее профессиональное образование;среднее общее образование;основное общее образование;начальное образование;не имеют образования
МР Среднеколымский;2010 год;0.9;9.9;1.9;35.9;33.3;12.2;5.1;0.8
МР Усть-Янский;2010 год;0.3;11.9;2.9;32.4;32.9;15.0;3.9;0.8
МР Эвено-Бытантайский;2010 год;0.0;12.4;3.0;29.4;37.2;13.1;4.3;0.7
Республика Карелия;2010 год;0.2;13.3;2.2;41.1;21.5;15.1;6.1;0.4
ГО Костомукша;2010 год;0.2;21.4;3.7;48.1;17.3;7.0;2.2;0.1
МР Беломорский;2010 год;0.2;10.2;1.5;36.4;25.4;19.7;5.9;0.7
МР Калевальский;2010 год;0.1;10.4;1.5;38.6;18.4;20.0;10.6;0.4
МР Кемский;2010 год;0.2;12.1;1.8;39.4;24.3;14.8;6.9;0.5
МР Лоухский;2010 год;0.3;9.6;1.4;38.5;22.4;19.8;7.6;0.4
МР Сегежский;2010 год;0.3;11.7;2.1;40.7;21.7;15.9;7.0;0.6
Архангельская область (без НАО);2010 год;0.7;20.4;4.2;44.4;14.9;11.2;4.0;0.2
МР Лешуконский;2010 год;0.1;8.5;1.5;36.6;17.5;24.7;10.6;0.4
МР Мезенский;2010 год;0.1;7.9;1.0;44.8;16.0;18.7;11.0;0.4
МР Онежский;2010 год;0.4;7.5;1.5;42.0;19.6;20.8;7.7;0.4
МР Пинежский;2010 год;0.2;8.6;1.2;42.9;21.1;19.1;6.5;0.4
МР Приморский;2010 год;0.4;12.4;3.3;44.9;14.5;16.1;7.0;1.4
ГО Архангельск;2010 год;0.9;23.5;5.0;43.8;13.1;10.1;3.4;0.1
ГО Новая Земля;2010 год;0.7;24.9;2.6;47.3;16.1;8.4;0.0;0.0
ГО Новодвинск;2010 год;0.5;16.9;3.0;47.7;15.5;12.0;4.0;0.4
ГО Северодвинск;2010 год;0.6;21.5;4.1;45.7;16.3;8.6;3.1;0.1
Ненецкий АО;2010 год;0.9;15.9;2.7;42.9;12.5;17.5;6.9;0.7
