Территория;Тип;Субъект РФ;Частично;ОКТМО;Административный центр;Крупнейшая национальность, 2010 г.;Вторая национальность, 2010 г.;Площадь территории, км?;Численность населения, 2010 г., человек;Численность населения, 2021 г., человек;Изменение численности населения, 2010-2021 гг., %;Плотность населения, 2010 г.;Плотность населения, 2021 г.;Численность мужчин, 2010 г., человек;Численность мужчин, 2021 г., человек;Доля мужчин, 2010 г., %;Доля мужчин, 2021 г., %;Изменение доли мужчин, 2010-2021 гг., пп.;Численность женщин, 2010 г., человек;Численность женщин, 2021 г., человек;Доля женщин, 2010 г., %;Доля женщин, 2021 г., %;Изменение доли женщин, 2010-2021 гг., пп.;Численность городского населения, 2010 г., человек;Численность городского населения, 2021 г., человек;Численность сельского населения, 2010 г., человек;Численность сельского населения, 2021 г., человек;Степень урбанизации, 2010 г., %;Степень урбанизации, 2021 г., %;Изменение степени урбанизации, 2010-2021 гг., пп.;Ранг 1;Ранг 2;Ранг 3;Ранг 4;Ранг 5;Ранг 6;Ранг 7;Ранг 8;Ранг 9;Ранг 10;Ранг 11;Ранг 12;Ранг 13;Ранг 14;Ранг 15;Ранг 16;Ранг 17;Ранг 18;Ранг 19;Ранг 20;Ранг 21;Ранг 22;Ранг 23;;;
МО Кировск;муниципальный округ;Мурманская область;;47712000;г. Кировск;русские;украинцы;3633;30990;26852;-13,4;8,53;7,39;14108;12172;45,5;45,3;-0,2;16882;14680;54,5;54,7;0,2;28625;24857;2365;1995;92,4;92,6;0,2;54 из 75;25 из 75;27 из 75;34 из 75;23 из 75;23 из 75;26 из 75;28 из 75;71 из 75;70 из 75;32 из 75;24 из 75;24 из 75;5 из 75;6 из 75;44 из 75;23 из 75;25 из 75;47 из 75;44 из 75;23 из 75;23 из 75;31 из 75;;;
МО Мончегорск;муниципальный округ;Мурманская область;;47715000;г. Мончегорск;русские;украинцы;3375;47975;42154;-12,1;14,22;12,49;21939;19519;45,7;46,3;0,6;26036;22635;54,3;53,7;-0,6;45361;39962;2614;2192;94,6;94,8;0,2;55 из 75;13 из 75;12 из 75;30 из 75;22 из 75;22 из 75;16 из 75;12 из 75;69 из 75;62 из 75;8 из 75;12 из 75;12 из 75;7 из 75;14 из 75;68 из 75;11 из 75;12 из 75;42 из 75;43 из 75;21 из 75;20 из 75;29 из 75;;;
МО Оленегорск;муниципальный округ;Мурманская область;;47717000;г. Оленегорск;русские;украинцы;1889;30021;28159;-6,2;15,90;14,91;14535;13715;48,4;48,7;0,3;15486;14444;51,6;51,3;-0,3;23072;21438;6949;6721;76,9;76,1;-0,7;57 из 75;26 из 75;26 из 75;20 из 75;21 из 75;21 из 75;25 из 75;26 из 75;42 из 75;31 из 75;12 из 75;26 из 75;26 из 75;34 из 75;45 из 75;64 из 75;28 из 75;27 из 75;20 из 75;15 из 75;35 из 75;37 из 75;63 из 75;;;
МО Полярные Зори;муниципальный округ;Мурманская область;;47719000;г. Полярные Зори;русские;украинцы;987;17641;15818;-10,3;17,88;16,03;8379;7447;47,5;47,1;-0,4;9262;8371;52,5;52,9;0,4;15096;14146;2545;1672;85,6;89,4;3,9;60 из 75;38 из 75;37 из 75;27 из 75;20 из 75;19 из 75;37 из 75;37 из 75;56 из 75;54 из 75;41 из 75;38 из 75;36 из 75;20 из 75;22 из 75;35 из 75;32 из 75;32 из 75;43 из 75;48 из 75;29 из 75;26 из 75;9 из 75;;;
МР Кольский;муниципальный район;Мурманская область;;47605000;г. Кола;русские;украинцы;27581;44670;34112;-23,6;1,62;1,24;22393;16402;50,1;48,1;-2,0;22277;17710;49,9;51,9;2,0;34125;26746;10545;7366;76,4;78,4;2,0;39 из 75;15 из 75;16 из 75;55 из 75;31 из 75;31 из 75;14 из 75;18 из 75;19 из 75;41 из 75;71 из 75;17 из 75;17 из 75;57 из 75;35 из 75;5 из 75;18 из 75;22 из 75;10 из 75;14 из 75;36 из 75;35 из 75;16 из 75;;;
МР Кандалакшский;муниципальный район;Мурманская область;;47608000;г. Кандалакша;русские;украинцы;14412;49544;40981;-17,3;3,44;2,84;23127;19187;46,7;46,8;0,1;26417;21794;53,3;53,2;-0,1;42214;32906;7330;8075;85,2;80,3;-4,9;45 из 75;12 из 75;13 из 75;44 из 75;29 из 75;28 из 75;12 из 75;13 из 75;63 из 75;57 из 75;14 из 75;11 из 75;13 из 75;13 из 75;19 из 75;62 из 75;13 из 75;15 из 75;17 из 75;13 из 75;30 из 75;33 из 75;70 из 75;;;
МР Ловозерский;муниципальный район;Мурманская область;;47610000;с. Ловозеро;русские;коми;52978;11820;8852;-25,1;0,22;0,17;6180;4286;52,3;48,4;-3,9;5640;4566;47,7;51,6;3,9;8414;6394;3406;2458;71,2;72,2;1,0;29 из 75;46 из 75;47 из 75;59 из 75;47 из 75;46 из 75;46 из 75;47 из 75;7 из 75;37 из 75;74 из 75;46 из 75;47 из 75;69 из 75;39 из 75;2 из 75;38 из 75;39 из 75;38 из 75;42 из 75;38 из 75;40 из 75;19 из 75;;;
МР Печенгский;муниципальный район;Мурманская область;;47615000;пгт Никель;русские;украинцы;8662;38920;32053;-17,6;4,49;3,70;20895;16661;53,7;52,0;-1,7;18025;15392;46,3;48,0;1,7;31769;26855;7151;5198;81,6;83,8;2,2;49 из 75;20 из 75;21 из 75;46 из 75;26 из 75;25 из 75;17 из 75;17 из 75;3 из 75;4 из 75;68 из 75;22 из 75;22 из 75;73 из 75;72 из 75;8 из 75;21 из 75;21 из 75;18 из 75;22 из 75;31 из 75;32 из 75;15 из 75;;;
МР Терский;муниципальный район;Мурманская область;;47620000;пгт Умба;русские;украинцы;19310;6288;4682;-25,5;0,33;0,24;2978;2141;47,4;45,7;-1,6;3310;2541;52,6;54,3;1,6;5532;4121;756;561;88,0;88,0;0,0;44 из 75;58 из 75;62 из 75;60 из 75;42 из 75;43 из 75;59 из 75;63 из 75;57 из 75;69 из 75;66 из 75;58 из 75;60 из 75;19 из 75;7 из 75;10 из 75;46 из 75;44 из 75;57 из 75;58 из 75;27 из 75;28 из 75;33 из 75;;;
ЗАТО Североморск;городской округ (закрытое адм.-тер. образование);Мурманская область;;47730000;г. Североморск;;;494;67331;50796;-24,6;136,29;102,82;35038;25332;52,0;49,9;-2,2;32293;25464;48,0;50,1;2,2;64011;47632;3320;3164;95,1;93,8;-1,3;62 из 75;8 из 75;9 из 75;57 из 75;13 из 75;13 из 75;8 из 75;9 из 75;8 из 75;15 из 75;72 из 75;10 из 75;11 из 75;68 из 75;61 из 75;4 из 75;8 из 75;11 из 75;39 из 75;36 из 75;20 из 75;22 из 75;67 из 75;;;
