Территория;Тип;Субъект РФ;Частично;ОКТМО;Административный центр;Население;Население процент;Крупнейшая национальность;Вторая национальность
МР Булунский;муниципальный район;в Республике Саха (Якутия);;98612000;пгт Тикси;7 706;0,3;русские;эвенки
МР Верхнеколымский ;муниципальный район;в Республике Саха (Якутия);;98615000;пгт Зырянка;3 803;0,2;русские;якуты
МР Верхоянский;муниципальный район;в Республике Саха (Якутия);;98616000;пгт Батагай;10 037;0,4;якуты;русские
МР Жиганский;муниципальный район;в Республике Саха (Якутия);;98622000;с. Жиганск;4 177;0,2;эвенки;якуты
МР Момский;муниципальный район;в Республике Саха (Якутия);;98633000;с. Хонуу;3 733;0,2;якуты;эвены
МР Нижнеколымский;муниципальный район;в Республике Саха (Якутия);;98637000;пгт Черский;4 214;0,2;русские;якуты
МР Оленекский;муниципальный район;в Республике Саха (Якутия);;98642000;с. Оленек;4 313;0,2;эвенки;якуты
МР Среднеколымский;муниципальный район;в Республике Саха (Якутия);;98646000;г. Среднеколымск;6 805;0,3;якуты;русские
МР Усть-Янский;муниципальный район;в Республике Саха (Якутия);;98656000;пгт Депутатский;6 810;0,3;якуты;русские
МР Эвено-Бытантайский;муниципальный район;в Республике Саха (Якутия);;98659000;с. Батагай-Алыта;2 913;0,1;эвены;якуты
Республика Карелия;субъект Российской Федерации;;Входит в АЗРФ частично. ;86000000;г. Петрозаводск;101 670;4,3;русские;карелы
ГО Костомукша;городской округ;в Республике Карелия;;86706000;г. Костомукша;26 650;1,1;русские;карелы
МР Беломорский;муниципальный район;в Республике Карелия;;86604000;г. Беломорск;13 076;0,5;русские;карелы
МР Калевальский;муниципальный район;в Республике Карелия;;86609000;пгт Калевала;6 176;0,3;русские;карелы
МР Кемский;муниципальный район;в Республике Карелия;;86612000;г. Кемь;13 138;0,6;русские;карелы
МР Лоухский;муниципальный район;в Республике Карелия;;86621000;пгт Лоухи;10 259;0,4;русские;карелы
МР Сегежский;муниципальный район;в Республике Карелия;;86645000;г. Сегежа;32 371;1,4;русские;белорусы
Архангельская область (без НАО);субъект Российской Федерации;;Входит в АЗРФ частично. ;11000000;г. Архангельск;584 835;24,6;русские;украинцы
МР Лешуконский;муниципальный район;в Архангельской области;;11638000;с. Лешуконское;5 523;0,2;русские;украинцы
