SRC,DST,FRAME,migranty,sname,dname
1634000,71916000,100,1,Поспелихинский район,Надымский район
1634000,71956000,100,3,Поспелихинский район,Новый Уренгой
1634000,77603000,100,1,Поспелихинский район,Анадырский район
1635000,4729000,100,1,Ребрихинский район,Норильск
1635000,47608000,100,1,Ребрихинский район,Кандалакша
1635000,71956000,100,1,Ребрихинский район,Новый Уренгой
1636000,4653000,100,1,Родинский район,Диксонский район
1636000,4729000,100,1,Родинский район,Норильск
1636000,47701000,100,3,Родинский район,Мурманск
1636000,47737000,100,2,Родинский район,Александровск
1636000,71920000,100,2,Родинский район,Пуровский район
1636000,71956000,100,2,Родинский район,Новый Уренгой
1636000,77609000,100,1,Родинский район,Билибинский район
1637000,4729000,100,1,Романовский район,Норильск
1637000,47701000,100,1,Романовский район,Мурманск
1637000,47730000,100,1,Романовский район,Североморск
1637000,47737000,100,3,Романовский район,Александровск
1637000,71923000,100,1,Романовский район,Тазовский район
1637000,71956000,100,1,Романовский район,Новый Уренгой
1637000,87715000,100,1,Романовский район,Инта
1638000,71956000,100,2,Рубцовский район,Новый Уренгой
1640000,4653000,100,2,Смоленский район,Диксонский район
1640000,4729000,100,2,Смоленский район,Норильск
1640000,87710000,100,1,Смоленский район,Воркута
1642000,4729000,100,1,Советский район,Норильск
1642000,47701000,100,1,Советский район,Мурманск
1642000,71956000,100,1,Советский район,Новый Уренгой
1643000,11730000,100,1,Солонешенский район,Северодвинск
1643000,47737000,100,2,Солонешенский район,Александровск
1643000,77701000,100,1,Солонешенский район,Анадырь
1644000,47705000,100,1,Солтонский район,Апатиты
1644000,77609000,100,1,Солтонский район,Билибинский район
1645000,4729000,100,1,Шелаболихинский район,Норильск
1645000,47701000,100,2,Шелаболихинский район,Мурманск
1646000,47701000,100,1,Табунский район,Мурманск
1646000,71951000,100,2,Табунский район,Салехард
1646000,71956000,100,2,Табунский район,Новый Уренгой
1647000,4653000,100,1,Тальменский район,Диксонский район
1647000,4729000,100,7,Тальменский район,Норильск
1647000,11652000,100,1,Тальменский район,Приморский район
1647000,47701000,100,1,Тальменский район,Мурманск
1647000,71913000,100,1,Тальменский район,Красноселькупский район
1647000,71955000,100,1,Тальменский район,Муравленко
1647000,71956000,100,2,Тальменский район,Новый Уренгой
1647000,71958000,100,1,Тальменский район,Ноябрьск
1648000,47701000,100,1,Тогульский район,Мурманск
1648000,71920000,100,1,Тогульский район,Пуровский район
1648000,71958000,100,1,Тогульский район,Ноябрьск
1648000,77609000,100,1,Тогульский район,Билибинский район
1649000,4729000,100,1,Топчихинский район,Норильск
1649000,47615000,100,1,Топчихинский район,Печенгский район
1649000,71920000,100,1,Топчихинский район,Пуровский район
1649000,71956000,100,1,Топчихинский район,Новый Уренгой
1650000,4729000,100,3,Третьяковский район,Норильск
1651000,4729000,100,1,Троицкий район,Норильск
1651000,47701000,100,2,Троицкий район,Мурманск
1652000,4729000,100,3,Тюменцевский район,Норильск
1652000,71913000,100,1,Тюменцевский район,Красноселькупский район
1652000,71953000,100,1,Тюменцевский район,Лабытнанги
