Название;Год;МО;Регион;Тип;Широта;Долгота;Численность населения
пгт Бараниха;1970;ГО Певек;Чукотский АО;пгт;68.50062;168.26541;1995.0
пгт Бараниха;1979;ГО Певек;Чукотский АО;пгт;68.50062;168.26541;1957.0
пгт Бараниха;1989;ГО Певек;Чукотский АО;пгт;68.50062;168.26541;2083.0
пгт Бараниха;2002;ГО Певек;Чукотский АО;пгт;68.50062;168.26541;33.0
пгт Батагай;1959;МР Верхнеколымский ;Республика Саха (Якутия);пгт;67.6509;134.6414;5821.0
пгт Батагай;1970;МР Верхнеколымский ;Республика Саха (Якутия);пгт;67.6509;134.6414;6318.0
пгт Батагай;1979;МР Верхнеколымский ;Республика Саха (Якутия);пгт;67.6509;134.6414;6414.0
пгт Батагай;1989;МР Верхнеколымский ;Республика Саха (Якутия);пгт;67.6509;134.6414;8383.0
пгт Батагай;2002;МР Верхнеколымский ;Республика Саха (Якутия);пгт;67.6509;134.6414;4589.0
пгт Батагай;2010;МР Верхнеколымский ;Республика Саха (Якутия);пгт;67.6509;134.6414;4369.0
пгт Батагай;2021;МР Верхнеколымский ;Республика Саха (Якутия);пгт;67.6509;134.6414;3753.0
пгт Белая Гора;1979;МР Абыйский;Республика Саха (Якутия);пгт;68.53805;146.18583;1955.0
пгт Белая Гора;1989;МР Абыйский;Республика Саха (Якутия);пгт;68.53805;146.18583;3553.0
пгт Белая Гора;2002;МР Абыйский;Республика Саха (Якутия);пгт;68.53805;146.18583;2463.0
пгт Белая Гора;2010;МР Абыйский;Республика Саха (Якутия);пгт;68.53805;146.18583;2245.0
пгт Белая Гора;2021;МР Абыйский;Республика Саха (Якутия);пгт;68.53805;146.18583;1927.0
пгт Белушья Губа;2010;ГО Новая Земля;Архангельская область (без НАО);пгт;71.53924;52.33212;1972.0
пгт Белушья Губа;2021;ГО Новая Земля;Архангельская область (без НАО);пгт;71.53924;52.33212;1972.0
пгт Беринговский;1959;МР Анадырский;Чукотский АО;пгт;63.06101;179.35046;2788.0
пгт Беринговский;1970;МР Анадырский;Чукотский АО;пгт;63.06101;179.35046;2173.0
пгт Беринговский;1979;МР Анадырский;Чукотский АО;пгт;63.06101;179.35046;2952.0
пгт Беринговский;1989;МР Анадырский;Чукотский АО;пгт;63.06101;179.35046;3213.0
пгт Беринговский;2002;МР Анадырский;Чукотский АО;пгт;63.06101;179.35046;1998.0
пгт Беринговский;2010;МР Анадырский;Чукотский АО;пгт;63.06101;179.35046;1401.0
пгт Беринговский;2021;МР Анадырский;Чукотский АО;пгт;63.06101;179.35046;1104.0
пгт Билибино;1959;МР Билибинский;Чукотский АО;пгт;68.05464;166.43721;635.0
пгт Билибино;1970;МР Билибинский;Чукотский АО;пгт;68.05464;166.43721;10693.0
пгт Билибино;1979;МР Билибинский;Чукотский АО;пгт;68.05464;166.43721;12711.0
пгт Билибино;1989;МР Билибинский;Чукотский АО;пгт;68.05464;166.43721;16296.0
пгт Боровой;1970;МР Калевальский;Республика Карелия;пгт;64.6121;32.24968;1953.0
пгт Боровой;1979;МР Калевальский;Республика Карелия;пгт;64.6121;32.24968;2810.0
пгт Боровой;1989;МР Калевальский;Республика Карелия;пгт;64.6121;32.24968;3118.0
пгт Быковский;1959;МР Булунский;Республика Саха (Якутия);пгт;72.00438;129.11091;816.0
пгт Быковский;1970;МР Булунский;Республика Саха (Якутия);пгт;72.00438;129.11091;658.0
пгт Быковский;1979;МР Булунский;Республика Саха (Якутия);пгт;72.00438;129.11091;592.0
пгт Быковский;1989;МР Булунский;Республика Саха (Якутия);пгт;72.00438;129.11091;653.0
пгт Валькумей;1959;ГО Певек;Чукотский АО;пгт;69.6003;170.18371;2017.0
пгт Валькумей;1970;ГО Певек;Чукотский АО;пгт;69.6003;170.18371;3059.0
пгт Валькумей;1979;ГО Певек;Чукотский АО;пгт;69.6003;170.18371;3417.0
пгт Валькумей;1989;ГО Певек;Чукотский АО;пгт;69.6003;170.18371;4042.0
пгт Валькумей;2002;ГО Певек;Чукотский АО;пгт;69.6003;170.18371;0.0
пгт Верхнеколвинск;1989;ГО Усинск;Республика Коми;пгт;66.6675;56.99806;1345.0
пгт Верхнетуломский;1970;МР Кольский;Мурманская область;пгт;68.60727;31.79621;1609.0
пгт Верхнетуломский;1979;МР Кольский;Мурманская область;пгт;68.60727;31.79621;2612.0
пгт Верхнетуломский;1989;МР Кольский;Мурманская область;пгт;68.60727;31.79621;2831.0
пгт Верхнетуломский;2002;МР Кольский;Мурманская область;пгт;68.60727;31.79621;2003.0
пгт Верхнетуломский;2010;МР Кольский;Мурманская область;пгт;68.60727;31.79621;1580.0
пгт Верхнетуломский;2021;МР Кольский;Мурманская область;пгт;68.60727;31.79621;1320.0
пгт Верхняя Инта;1959;ГО Инта;Республика Коми;пгт;65.98115;60.30945;6675.0
пгт Верхняя Инта;1970;ГО Инта;Республика Коми;пгт;65.98115;60.30945;4555.0
пгт Верхняя Инта;1979;ГО Инта;Республика Коми;пгт;65.98115;60.30945;4284.0
пгт Верхняя Инта;1989;ГО Инта;Республика Коми;пгт;65.98115;60.30945;4109.0
пгт Верхняя Инта;2002;ГО Инта;Республика Коми;пгт;65.98115;60.30945;2077.0
пгт Верхняя Инта;2010;ГО Инта;Республика Коми;пгт;65.98115;60.30945;1106.0
пгт Верхняя Инта;2021;ГО Инта;Республика Коми;пгт;65.98115;60.30945;438.0
пгт Вирандозеро;1959;МР Беломорский;Республика Карелия;пгт;64.0197;36.0118;3246.0
пгт Вирандозеро;1970;МР Беломорский;Республика Карелия;пгт;64.0197;36.0118;2465.0
пгт Вирандозеро;1979;МР Беломорский;Республика Карелия;пгт;64.0197;36.0118;1493.0
пгт Вирандозеро;1989;МР Беломорский;Республика Карелия;пгт;64.0197;36.0118;1223.0
пгт Власово;1979;МР Усть-Янский;Республика Саха (Якутия);пгт;70.74401;134.80058;2008.0
пгт Власово;1989;МР Усть-Янский;Республика Саха (Якутия);пгт;70.74401;134.80058;2087.0
пгт Воргашор;1970;ГО Воркута;Республика Коми;пгт;67.58355;63.79399;11812.0
пгт Воргашор;1979;ГО Воркута;Республика Коми;пгт;67.58355;63.79399;18488.0
пгт Воргашор;1989;ГО Воркута;Республика Коми;пгт;67.58355;63.79399;25915.0
пгт Воргашор;2002;ГО Воркута;Республика Коми;пгт;67.58355;63.79399;19100.0
пгт Воргашор;2010;ГО Воркута;Республика Коми;пгт;67.58355;63.79399;12044.0
пгт Воргашор;2021;ГО Воркута;Республика Коми;пгт;67.58355;63.79399;6553.0
пгт Встречный;1970;МР Билибинский;Чукотский АО;пгт;67.95;165.6;1819.0
пгт Встречный;1979;МР Билибинский;Чукотский АО;пгт;67.95;165.6;1572.0
пгт Встречный;1989;МР Билибинский;Чукотский АО;пгт;67.95;165.6;1789.0
пгт Встречный;2002;МР Билибинский;Чукотский АО;пгт;67.95;165.6;13.0
пгт Вьюжный;1979;ЗАТО Александровск;Мурманская область;пгт;69.19333;33.25314;8617.0
пгт Горный;1959;МР Печенгский;Мурманская область;пгт;69.4155;30.7826;2398.0
пгт Горняцкий;1959;ГО Воркута;Республика Коми;пгт;67.53333;64.05;28457.0
пгт Гремиха;1959;ЗАТО Островной;Мурманская область;пгт;68.05306;39.51306;3342.0
пгт Гремиха;1970;ЗАТО Островной;Мурманская область;пгт;68.05306;39.51306;6956.0
пгт Гремиха;1979;ЗАТО Островной;Мурманская область;пгт;68.05306;39.51306;9338.0
пгт Губкинский;1989;ГО Губкинский;Ямало-Ненецкий АО;пгт;64.434;76.50261;9605.0
пгт Депутатский;1959;МР Усть-Янский;Республика Саха (Якутия);пгт;69.30958;139.97571;1822.0
пгт Депутатский;1970;МР Усть-Янский;Республика Саха (Якутия);пгт;69.30958;139.97571;5262.0
пгт Депутатский;1979;МР Усть-Янский;Республика Саха (Якутия);пгт;69.30958;139.97571;5331.0
пгт Депутатский;1989;МР Усть-Янский;Республика Саха (Якутия);пгт;69.30958;139.97571;13481.0
пгт Депутатский;2002;МР Усть-Янский;Республика Саха (Якутия);пгт;69.30958;139.97571;3602.0
пгт Депутатский;2010;МР Усть-Янский;Республика Саха (Якутия);пгт;69.30958;139.97571;2983.0
пгт Депутатский;2021;МР Усть-Янский;Республика Саха (Якутия);пгт;69.30958;139.97571;2590.0
пгт Диксон;1959;МР Таймырский Долгано-Ненецкий;Красноярский край;пгт;73.50819;80.52918;3470.0
пгт Диксон;1970;МР Таймырский Долгано-Ненецкий;Красноярский край;пгт;73.50819;80.52918;3889.0
пгт Диксон;1979;МР Таймырский Долгано-Ненецкий;Красноярский край;пгт;73.50819;80.52918;4045.0
пгт Диксон;1989;МР Таймырский Долгано-Ненецкий;Красноярский край;пгт;73.50819;80.52918;4537.0
пгт Диксон;2002;МР Таймырский Долгано-Ненецкий;Красноярский край;пгт;73.50819;80.52918;1198.0
пгт Диксон;2010;МР Таймырский Долгано-Ненецкий;Красноярский край;пгт;73.50819;80.52918;676.0
пгт Диксон;2021;МР Таймырский Долгано-Ненецкий;Красноярский край;пгт;73.50819;80.52918;319.0
пгт Дружина;1959;МР Абыйский;Республика Саха (Якутия);пгт;68.20164;145.31028;1258.0
пгт Дружина;1970;МР Абыйский;Республика Саха (Якутия);пгт;68.20164;145.31028;1626.0
пгт Елецкий;1959;ГО Воркута;Республика Коми;пгт;67.04583;64.21444;3208.0
пгт Елецкий;1970;ГО Воркута;Республика Коми;пгт;67.04583;64.21444;1521.0
пгт Елецкий;1979;ГО Воркута;Республика Коми;пгт;67.04583;64.21444;1193.0
пгт Елецкий;1989;ГО Воркута;Республика Коми;пгт;67.04583;64.21444;1282.0
пгт Елецкий;2002;ГО Воркута;Республика Коми;пгт;67.04583;64.21444;780.0
пгт Елецкий;2010;ГО Воркута;Республика Коми;пгт;67.04583;64.21444;631.0
пгт Елецкий;2021;ГО Воркута;Республика Коми;пгт;67.04583;64.21444;307.0
пгт Заполярный;1959;ГО Воркута;Республика Коми;пгт;67.49552;63.73275;8775.0
пгт Заполярный;1959;МР Печенгский;Мурманская область;пгт;69.41541;30.81355;3791.0
пгт Заполярный;1970;ГО Воркута;Республика Коми;пгт;67.49552;63.73275;9709.0
пгт Заполярный;1979;ГО Воркута;Республика Коми;пгт;67.49552;63.73275;7964.0
пгт Заполярный;1989;ГО Воркута;Республика Коми;пгт;67.49552;63.73275;8027.0
пгт Заполярный;2002;ГО Воркута;Республика Коми;пгт;67.49552;63.73275;4708.0
пгт Заполярный;2002;МО Надымский;Ямало-Ненецкий АО;пгт;66.4526;73.8436;995.0
пгт Заполярный;2010;ГО Воркута;Республика Коми;пгт;67.49552;63.73275;1948.0
пгт Заполярный;2010;МО Надымский;Ямало-Ненецкий АО;пгт;66.4526;73.8436;1024.0
пгт Заполярный;2021;ГО Воркута;Республика Коми;пгт;67.49552;63.73275;483.0
пгт Заполярный;2021;МО Надымский;Ямало-Ненецкий АО;пгт;66.4526;73.8436;1026.0
пгт Зареченск;1959;МР Кандалакшский;Мурманская область;пгт;66.6799;31.42708;5376.0
пгт Зареченск;1970;МР Кандалакшский;Мурманская область;пгт;66.6799;31.42708;1504.0
пгт Зареченск;1979;МР Кандалакшский;Мурманская область;пгт;66.6799;31.42708;1338.0
пгт Зареченск;1989;МР Кандалакшский;Мурманская область;пгт;66.6799;31.42708;1265.0
пгт Зашеек;1939;МО Полярные Зори;Мурманская область;пгт;67.40406;32.54803;4567.0
пгт Зашеек;1959;МО Полярные Зори;Мурманская область;пгт;67.40406;32.54803;4226.0
пгт Зашеек;1970;МО Полярные Зори;Мурманская область;пгт;67.40406;32.54803;6831.0
пгт Зашеек;1979;МО Полярные Зори;Мурманская область;пгт;67.40406;32.54803;3619.0
пгт Зашеек;1989;МО Полярные Зори;Мурманская область;пгт;67.40406;32.54803;1958.0
пгт Зашеек;2002;МО Полярные Зори;Мурманская область;пгт;67.40406;32.54803;1042.0
пгт Зеленоборский;1959;МР Кандалакшский;Мурманская область;пгт;66.845;32.36222;9000.0
пгт Зеленоборский;1970;МР Кандалакшский;Мурманская область;пгт;66.845;32.36222;10224.0
пгт Зеленоборский;1979;МР Кандалакшский;Мурманская область;пгт;66.845;32.36222;10122.0
пгт Зеленоборский;1989;МР Кандалакшский;Мурманская область;пгт;66.845;32.36222;9671.0
пгт Зеленоборский;2002;МР Кандалакшский;Мурманская область;пгт;66.845;32.36222;7640.0
пгт Зеленоборский;2010;МР Кандалакшский;Мурманская область;пгт;66.845;32.36222;6560.0
пгт Зеленоборский;2021;МР Кандалакшский;Мурманская область;пгт;66.845;32.36222;3768.0
пгт Зырянка;1959;МР Верхнеколымский ;Республика Саха (Якутия);пгт;65.73489;150.89429;4245.0
пгт Зырянка;1970;МР Верхнеколымский ;Республика Саха (Якутия);пгт;65.73489;150.89429;5260.0
пгт Зырянка;1979;МР Верхнеколымский ;Республика Саха (Якутия);пгт;65.73489;150.89429;5749.0
пгт Зырянка;1989;МР Верхнеколымский ;Республика Саха (Якутия);пгт;65.73489;150.89429;6802.0
пгт Зырянка;2002;МР Верхнеколымский ;Республика Саха (Якутия);пгт;65.73489;150.89429;3749.0
пгт Зырянка;2010;МР Верхнеколымский ;Республика Саха (Якутия);пгт;65.73489;150.89429;3170.0
пгт Зырянка;2021;МР Верхнеколымский ;Республика Саха (Якутия);пгт;65.73489;150.89429;2521.0
пгт Идель;1959;МР Сегежский;Республика Карелия;пгт;64.13333;34.23333;3236.0
пгт Идель;1970;МР Сегежский;Республика Карелия;пгт;64.13333;34.23333;1379.0
пгт Идель;1979;МР Сегежский;Республика Карелия;пгт;64.13333;34.23333;1041.0
пгт Идель;1989;МР Сегежский;Республика Карелия;пгт;64.13333;34.23333;889.0
пгт Искателей;1989;МР Заполярный;Ненецкий АО;пгт;67.68026;53.15117;8855.0
пгт Искателей;2002;МР Заполярный;Ненецкий АО;пгт;67.68026;53.15117;6981.0
пгт Искателей;2010;МР Заполярный;Ненецкий АО;пгт;67.68026;53.15117;6881.0
пгт Искателей;2021;МР Заполярный;Ненецкий АО;пгт;67.68026;53.15117;7266.0
пгт Иультин;1959;ГО Эгвекинот;Чукотский АО;пгт;67.87355;-178.72973;2513.0
пгт Иультин;1970;ГО Эгвекинот;Чукотский АО;пгт;67.87355;-178.72973;4033.0
пгт Иультин;1979;ГО Эгвекинот;Чукотский АО;пгт;67.87355;-178.72973;4115.0
пгт Иультин;1989;ГО Эгвекинот;Чукотский АО;пгт;67.87355;-178.72973;5545.0
пгт Кайеркан;1959;ГО Норильск;Красноярский край;пгт;69.37861;87.74389;5167.0
пгт Кайеркан;1970;ГО Норильск;Красноярский край;пгт;69.37861;87.74389;4748.0
пгт Кайеркан;1979;ГО Норильск;Красноярский край;пгт;69.37861;87.74389;18013.0
пгт Калевала;1970;МР Калевальский;Республика Карелия;пгт;65.19873;31.18999;4408.0
пгт Калевала;1979;МР Калевальский;Республика Карелия;пгт;65.19873;31.18999;4834.0
пгт Калевала;1989;МР Калевальский;Республика Карелия;пгт;65.19873;31.18999;5230.0
пгт Калевала;2002;МР Калевальский;Республика Карелия;пгт;65.19873;31.18999;5578.0
пгт Калевала;2010;МР Калевальский;Республика Карелия;пгт;65.19873;31.18999;4529.0
пгт Калевала;2021;МР Калевальский;Республика Карелия;пгт;65.19873;31.18999;3526.0
пгт Каменка;1939;МР Мезенский;Архангельская область (без НАО);пгт;65.8835;44.1272;5239.0
пгт Каменка;1959;МР Мезенский;Архангельская область (без НАО);пгт;65.8835;44.1272;6020.0
пгт Каменка;1970;МР Мезенский;Архангельская область (без НАО);пгт;65.8835;44.1272;6898.0
пгт Каменка;1979;МР Мезенский;Архангельская область (без НАО);пгт;65.8835;44.1272;5817.0
пгт Каменка;1989;МР Мезенский;Архангельская область (без НАО);пгт;65.8835;44.1272;5248.0
пгт Каменка;2002;МР Мезенский;Архангельская область (без НАО);пгт;65.8835;44.1272;3387.0
пгт Каменка;2010;МР Мезенский;Архангельская область (без НАО);пгт;65.8835;44.1272;2582.0
пгт Кереть;1959;МР Лоухский;Республика Карелия;пгт;66.19632;32.89973;1085.0
пгт Кестеньга;1959;МР Лоухский;Республика Карелия;пгт;65.88764;31.82535;2795.0
пгт Кестеньга;1970;МР Лоухский;Республика Карелия;пгт;65.88764;31.82535;3012.0
пгт Кестеньга;1979;МР Лоухский;Республика Карелия;пгт;65.88764;31.82535;2422.0
пгт Кестеньга;1989;МР Лоухский;Республика Карелия;пгт;65.88764;31.82535;2509.0
пгт Кильдинстрой;1939;МР Кольский;Мурманская область;пгт;68.80388;33.09937;2719.0
пгт Кильдинстрой;1959;МР Кольский;Мурманская область;пгт;68.80388;33.09937;4174.0
пгт Кильдинстрой;1970;МР Кольский;Мурманская область;пгт;68.80388;33.09937;4376.0
пгт Кильдинстрой;1979;МР Кольский;Мурманская область;пгт;68.80388;33.09937;4313.0
пгт Кильдинстрой;1989;МР Кольский;Мурманская область;пгт;68.80388;33.09937;3793.0
пгт Кильдинстрой;2002;МР Кольский;Мурманская область;пгт;68.80388;33.09937;2861.0
пгт Кильдинстрой;2010;МР Кольский;Мурманская область;пгт;68.80388;33.09937;2063.0
пгт Кильдинстрой;2021;МР Кольский;Мурманская область;пгт;68.80388;33.09937;2244.0
пгт Ковдор;1959;МО Ковдорский;Мурманская область;пгт;67.56616;30.47576;5358.0
пгт Кодино;1959;МР Онежский;Архангельская область (без НАО);пгт;63.71976;39.64465;4272.0
пгт Кодино;1970;МР Онежский;Архангельская область (без НАО);пгт;63.71976;39.64465;3703.0
пгт Кодино;1979;МР Онежский;Архангельская область (без НАО);пгт;63.71976;39.64465;3191.0
пгт Кодино;1989;МР Онежский;Архангельская область (без НАО);пгт;63.71976;39.64465;2810.0
пгт Кожым;1959;ГО Инта;Республика Коми;пгт;65.734;59.52435;4294.0
пгт Кожым;1970;ГО Инта;Республика Коми;пгт;65.734;59.52435;653.0
пгт Кожым;1979;ГО Инта;Республика Коми;пгт;65.734;59.52435;802.0
пгт Кожым;1989;ГО Инта;Республика Коми;пгт;65.734;59.52435;703.0
пгт Кожым;2002;ГО Инта;Республика Коми;пгт;65.734;59.52435;56.0
пгт Кожым;2010;ГО Инта;Республика Коми;пгт;65.734;59.52435;10.0
пгт Кожым;2021;ГО Инта;Республика Коми;пгт;65.734;59.52435;0.0
пгт Кола;1939;МР Кольский;Мурманская область;пгт;68.88062;33.01842;8385.0
пгт Кола;1959;МР Кольский;Мурманская область;пгт;68.88062;33.01842;12273.0
пгт Комсомольский;1959;ГО Воркута;Республика Коми;пгт;67.55;63.78333;18781.0
пгт Комсомольский;1959;ГО Певек;Чукотский АО;пгт;69.13175;172.74368;470.0
пгт Комсомольский;1970;ГО Воркута;Республика Коми;пгт;67.55;63.78333;17078.0
пгт Комсомольский;1970;ГО Певек;Чукотский АО;пгт;69.13175;172.74368;1642.0
пгт Комсомольский;1979;ГО Воркута;Республика Коми;пгт;67.55;63.78333;14885.0
пгт Комсомольский;1979;ГО Певек;Чукотский АО;пгт;69.13175;172.74368;2166.0
пгт Комсомольский;1989;ГО Воркута;Республика Коми;пгт;67.55;63.78333;14982.0
пгт Комсомольский;1989;ГО Певек;Чукотский АО;пгт;69.13175;172.74368;4047.0
пгт Комсомольский;2002;ГО Воркута;Республика Коми;пгт;67.55;63.78333;4046.0
пгт Комсомольский;2002;ГО Певек;Чукотский АО;пгт;69.13175;172.74368;597.0
пгт Комсомольский;2010;ГО Воркута;Республика Коми;пгт;67.55;63.78333;1047.0
пгт Комсомольский;2021;ГО Воркута;Республика Коми;пгт;67.55;63.78333;128.0
пгт Коротчаево;1989;ГО Новый Уренгой;Ямало-Ненецкий АО;пгт;65.91028;78.20917;9508.0
пгт Коротчаево;2002;ГО Новый Уренгой;Ямало-Ненецкий АО;пгт;65.91028;78.20917;6998.0
пгт Костомукша;1979;ГО Костомукша;Республика Карелия;пгт;64.571;30.57667;4366.0
пгт Красноармейский;1959;ГО Певек;Чукотский АО;пгт;69.54221;171.99288;1156.0
пгт Красноармейский;1970;ГО Певек;Чукотский АО;пгт;69.54221;171.99288;1583.0
пгт Красноармейский;1979;ГО Певек;Чукотский АО;пгт;69.54221;171.99288;2324.0
пгт Красноармейский;1989;ГО Певек;Чукотский АО;пгт;69.54221;171.99288;2368.0
пгт Красноармейский;2002;ГО Певек;Чукотский АО;пгт;69.54221;171.99288;0.0
пгт Кривой Порог;1989;МР Кемский;Республика Карелия;пгт;65.03803;33.6743;1351.0
пгт Кукисвумчорр;1939;МО Кировск;Мурманская область;пгт;67.66384;33.72215;8950.0
пгт Кулар;1970;МР Усть-Янский;Республика Саха (Якутия);пгт;70.63894;134.35281;3168.0
пгт Кулар;1979;МР Усть-Янский;Республика Саха (Якутия);пгт;70.63894;134.35281;4130.0
пгт Кулар;1989;МР Усть-Янский;Республика Саха (Якутия);пгт;70.63894;134.35281;4880.0
пгт Лабытнанги;1959;ГО Лабытнанги;Ямало-Ненецкий АО;пгт;66.65722;66.41833;5220.0
пгт Лабытнанги;1970;ГО Лабытнанги;Ямало-Ненецкий АО;пгт;66.65722;66.41833;9190.0
пгт Лазо;1979;МР Верхоянский;Республика Саха (Якутия);пгт;66.68908;136.51409;888.0
пгт Лазо;1989;МР Верхоянский;Республика Саха (Якутия);пгт;66.68908;136.51409;2245.0
пгт Ленинградский;1979;ГО Эгвекинот;Чукотский АО;пгт;69.36012;178.40103;2665.0
пгт Ленинградский;1989;ГО Эгвекинот;Чукотский АО;пгт;69.36012;178.40103;3949.0
пгт Ленинградский;2002;ГО Эгвекинот;Чукотский АО;пгт;69.36012;178.40103;764.0
пгт Лесозаводский;1959;МР Кандалакшский;Мурманская область;пгт;66.72992;32.83891;1744.0
пгт Лесозаводский;1970;МР Кандалакшский;Мурманская область;пгт;66.72992;32.83891;1448.0
пгт Лесозаводский;1979;МР Кандалакшский;Мурманская область;пгт;66.72992;32.83891;1255.0
пгт Лесозаводский;1989;МР Кандалакшский;Мурманская область;пгт;66.72992;32.83891;1046.0
пгт Летнереченский;1959;МР Беломорский;Республика Карелия;пгт;64.28333;34.38333;4392.0
пгт Летнереченский;1970;МР Беломорский;Республика Карелия;пгт;64.28333;34.38333;4062.0
пгт Летнереченский;1979;МР Беломорский;Республика Карелия;пгт;64.28333;34.38333;3401.0
пгт Летнереченский;1989;МР Беломорский;Республика Карелия;пгт;64.28333;34.38333;2909.0
пгт Лимбяяха;1989;ГО Новый Уренгой;Ямало-Ненецкий АО;пгт;66.0207;78.075;3293.0
пгт Лимбяяха;2002;ГО Новый Уренгой;Ямало-Ненецкий АО;пгт;66.0207;78.075;2815.0
пгт Лоухи;1959;МР Лоухский;Республика Карелия;пгт;66.07616;33.04745;6107.0
пгт Лоухи;1970;МР Лоухский;Республика Карелия;пгт;66.07616;33.04745;5376.0
пгт Лоухи;1979;МР Лоухский;Республика Карелия;пгт;66.07616;33.04745;5548.0
пгт Лоухи;1989;МР Лоухский;Республика Карелия;пгт;66.07616;33.04745;6447.0
пгт Лоухи;2002;МР Лоухский;Республика Карелия;пгт;66.07616;33.04745;5920.0
пгт Лоухи;2010;МР Лоухский;Республика Карелия;пгт;66.07616;33.04745;4772.0
пгт Лоухи;2021;МР Лоухский;Республика Карелия;пгт;66.07616;33.04745;3709.0
пгт Маленьга;1959;МР Беломорский;Республика Карелия;пгт;63.8408;36.44068;3195.0
пгт Маленьга;1970;МР Беломорский;Республика Карелия;пгт;63.8408;36.44068;2170.0
пгт Маленьга;1979;МР Беломорский;Республика Карелия;пгт;63.8408;36.44068;893.0
пгт Маленьга;1989;МР Беломорский;Республика Карелия;пгт;63.8408;36.44068;525.0
пгт Малошуйка;1959;МР Онежский;Архангельская область (без НАО);пгт;63.71209;37.4496;8029.0
пгт Малошуйка;1970;МР Онежский;Архангельская область (без НАО);пгт;63.71209;37.4496;4489.0
пгт Малошуйка;1979;МР Онежский;Архангельская область (без НАО);пгт;63.71209;37.4496;4331.0
пгт Малошуйка;1989;МР Онежский;Архангельская область (без НАО);пгт;63.71209;37.4496;4018.0
пгт Малошуйка;2002;МР Онежский;Архангельская область (без НАО);пгт;63.71209;37.4496;3164.0
пгт Малошуйка;2010;МР Онежский;Архангельская область (без НАО);пгт;63.71209;37.4496;2886.0
пгт Малошуйка;2021;МР Онежский;Архангельская область (без НАО);пгт;63.71209;37.4496;1999.0
пгт Марково;1970;МР Анадырский;Чукотский АО;пгт;64.68063;170.41486;1712.0
пгт Марково;1979;МР Анадырский;Чукотский АО;пгт;64.68063;170.41486;1992.0
пгт Марково;1989;МР Анадырский;Чукотский АО;пгт;64.68063;170.41486;2139.0
пгт Медвежий;1959;МР Таймырский Долгано-Ненецкий;Красноярский край;пгт;70.53333;91.1;4962.0
пгт Молодежный;1959;МО Апатиты;Мурманская область;пгт;67.5831;33.4169;5980.0
пгт Молочный;1989;МР Кольский;Мурманская область;пгт;68.85389;33.02046;5944.0
пгт Молочный;2002;МР Кольский;Мурманская область;пгт;68.85389;33.02046;5627.0
пгт Молочный;2010;МР Кольский;Мурманская область;пгт;68.85389;33.02046;5208.0
пгт Молочный;2021;МР Кольский;Мурманская область;пгт;68.85389;33.02046;4194.0
пгт Мудьюга;1959;МР Онежский;Архангельская область (без НАО);пгт;63.78316;39.23757;4078.0
пгт Мудьюга;1970;МР Онежский;Архангельская область (без НАО);пгт;63.78316;39.23757;1811.0
пгт Мудьюга;1979;МР Онежский;Архангельская область (без НАО);пгт;63.78316;39.23757;1410.0
пгт Мудьюга;1989;МР Онежский;Архангельская область (без НАО);пгт;63.78316;39.23757;1062.0
пгт Мульда;1959;ГО Воркута;Республика Коми;пгт;67.5;63.85;3125.0
пгт Мульда;1970;ГО Воркута;Республика Коми;пгт;67.5;63.85;1736.0
пгт Мульда;1979;ГО Воркута;Республика Коми;пгт;67.5;63.85;1543.0
пгт Мульда;1989;ГО Воркута;Республика Коми;пгт;67.5;63.85;1232.0
пгт Мульда;2002;ГО Воркута;Республика Коми;пгт;67.5;63.85;183.0
пгт Мульда;2010;ГО Воркута;Республика Коми;пгт;67.5;63.85;0.0
пгт Мульда;2021;ГО Воркута;Республика Коми;пгт;67.5;63.85;12.0
пгт Мурмаши;1939;МР Кольский;Мурманская область;пгт;68.81542;32.81147;2018.0
пгт Мурмаши;1959;МР Кольский;Мурманская область;пгт;68.81542;32.81147;8840.0
пгт Мурмаши;1970;МР Кольский;Мурманская область;пгт;68.81542;32.81147;8836.0
пгт Мурмаши;1979;МР Кольский;Мурманская область;пгт;68.81542;32.81147;10895.0
пгт Мурмаши;1989;МР Кольский;Мурманская область;пгт;68.81542;32.81147;14417.0
пгт Мурмаши;2002;МР Кольский;Мурманская область;пгт;68.81542;32.81147;16343.0
пгт Мурмаши;2010;МР Кольский;Мурманская область;пгт;68.81542;32.81147;14152.0
пгт Мурмаши;2021;МР Кольский;Мурманская область;пгт;68.81542;32.81147;9568.0
пгт Мыс Шмидта;1970;ГО Эгвекинот;Чукотский АО;пгт;68.89309;-179.4088;1818.0
пгт Мыс Шмидта;1979;ГО Эгвекинот;Чукотский АО;пгт;68.89309;-179.4088;3307.0
пгт Мыс Шмидта;1989;ГО Эгвекинот;Чукотский АО;пгт;68.89309;-179.4088;4760.0
пгт Мыс Шмидта;2002;ГО Эгвекинот;Чукотский АО;пгт;68.89309;-179.4088;705.0
пгт Мыс Шмидта;2010;ГО Эгвекинот;Чукотский АО;пгт;68.89309;-179.4088;492.0
пгт Мыс Шмидта;2021;ГО Эгвекинот;Чукотский АО;пгт;68.89309;-179.4088;37.0
пгт Нагорный;1970;МР Анадырский;Чукотский АО;пгт;63.06667;179.26667;2087.0
пгт Нагорный;1979;МР Анадырский;Чукотский АО;пгт;63.06667;179.26667;3025.0
пгт Нагорный;1989;МР Анадырский;Чукотский АО;пгт;63.06667;179.26667;4208.0
