Города и пгт;1939 г.;1959 г.;1970 г.;1979 г.;1989 г.;2002 г.;2010 г.;2021 г.;МО;Регион;Тип;Широта;Долгота
пгт Надвоицы;;10503;10973;10655;11550;11073;8372;6070;МР Сегежский;Республика Карелия;пгт;63.86667;34.31667
пгт Уренгой;;;;;12089;9329;10066;5845;МО Пуровский;Ямало-Ненецкий АО;пгт;65.9655;78.36929
пгт Харп;;;;;5508;7278;6413;5031;ГО Лабытнанги;Ямало-Ненецкий АО;пгт;66.80139;65.80806
пгт Сафоново;;;4738;6033;8006;4853;5255;4305;ЗАТО Североморск;Мурманская область;пгт;69.06043;33.29523
пгт Молочный;;;;;5944;5627;5208;4194;МР Кольский;Мурманская область;пгт;68.85389;33.02046
пгт Тикси;697;4833;8099;9505;11940;5873;5063;4173;МР Булунский;Республика Саха (Якутия);пгт;71.69002;128.86467
пгт Умба;5196;8950;7268;7699;8443;6497;5532;4121;МР Терский;Мурманская область;пгт;66.68706;34.34291
пгт Зеленоборский;;9000;10224;10122;9671;7640;6560;3768;МР Кандалакшский;Мурманская область;пгт;66.845;32.36222
пгт Батагай;;5821;6318;6414;8383;4589;4369;3753;МР Верхнеколымский ;Республика Саха (Якутия);пгт;67.6509;134.6414
пгт Лоухи;;6107;5376;5548;6447;5920;4772;3709;МР Лоухский;Республика Карелия;пгт;66.07616;33.04745
пгт Северный;;15175;15289;17172;20862;12028;9023;3660;ГО Воркута;Республика Коми;пгт;67.63333;64.1
пгт Калевала;;;4408;4834;5230;5578;4529;3526;МР Калевальский;Республика Карелия;пгт;65.19873;31.18999
пгт Угольные Копи;;;5940;9929;12937;3863;3368;3232;МР Анадырский;Чукотский АО;пгт;64.74504;177.68948
пгт Эгвекинот;;3015;3360;4657;5545;2413;2790;3113;ГО Эгвекинот;Чукотский АО;пгт;66.32166;-179.12198
пгт Черский;;;9460;9726;11456;3832;2857;2623;МР Нижнеколымский;Республика Саха (Якутия);пгт;68.75325;161.33197
пгт Депутатский;;1822;5262;5331;13481;3602;2983;2590;МР Усть-Янский;Республика Саха (Якутия);пгт;69.30958;139.97571
пгт Зырянка;;4245;5260;5749;6802;3749;3170;2521;МР Верхнеколымский ;Республика Саха (Якутия);пгт;65.73489;150.89429
пгт Кильдинстрой;2719;4174;4376;4313;3793;2861;2063;2244;МР Кольский;Мурманская область;пгт;68.80388;33.09937
пгт Печенга;;3458;2576;2084;2766;2959;3188;2206;МР Печенгский;Мурманская область;пгт;69.52587;31.17027
пгт Провидения;;4840;6586;4643;5534;2723;1970;2140;ГО Провидения;Чукотский АО;пгт;64.42289; -173.22641
пгт Чупа;;4095;4561;4904;5160;4061;2924;2074;МР Лоухский;Республика Карелия;пгт;66.27001;33.05486
пгт Малошуйка;;8029;4489;4331;4018;3164;2886;1999;МР Онежский;Архангельская область (без НАО);пгт;63.71209;37.4496
пгт Белушья Губа;;;;;;;1972;1972;ГО Новая Земля;Архангельская область (без НАО);пгт;71.53924;52.33212
пгт Белая Гора;;;;1955;3553;2463;2245;1927;МР Абыйский;Республика Саха (Якутия);пгт;68.53805;146.18583
пгт Чокурдах;;;;;3913;2591;2367;1869;МР Аллаиховский;Республика Саха (Якутия);пгт;70.61897;147.8973
пгт Пяозерский;;;;2660;2640;2603;2098;1578;МР Лоухский;Республика Карелия;пгт;65.7687;31.08925
пгт Верхнетуломский;;;1609;2612;2831;2003;1580;1320;МР Кольский;Мурманская область;пгт;68.60727;31.79621
пгт Беринговский;;2788;2173;2952;3213;1998;1401;1104;МР Анадырский;Чукотский АО;пгт;63.06101;179.35046
пгт Заполярный;;;;;;995;1024;1026;МО Надымский;Ямало-Ненецкий АО;пгт;66.4526;73.8436
пгт Снежногорск;;;9685;2852;2312;1306;887;784;ГО Норильск;Красноярский край;пгт;68.09306;87.74
пгт Парма;;;;11870;8898;1387;1248;713;ГО Усинск;Республика Коми;пгт;65.9401;57.4518
пгт Усть-Куйга;;;1825;2700;5348;1568;979;668;МР Усть-Янский;Республика Саха (Якутия);пгт;70.00208;135.54876
пгт Заполярный;;8775;9709;7964;8027;4708;1948;483;ГО Воркута;Республика Коми;пгт;67.49552;63.73275
пгт Верхняя Инта;;6675;4555;4284;4109;2077;1106;438;ГО Инта;Республика Коми;пгт;65.98115;60.30945
пгт Туманный;;;;2647;1997;950;685;404;МР Кольский;Мурманская область;пгт;68.88472;35.69444
пгт Диксон;;3470;3889;4045;4537;1198;676;319;МР Таймырский Долгано-Ненецкий;Красноярский край;пгт;73.50819;80.52918
пгт Елецкий;;3208;1521;1193;1282;780;631;307;ГО Воркута;Республика Коми;пгт;67.04583;64.21444
пгт Нижнеянск;;862;1681;2164;3005;701;391;218;МР Усть-Янский;Республика Саха (Якутия);пгт;71.4403;136.13585
пгт Эсэ-Хайя;;3184;2867;1347;1449;343;239;153;МР Верхоянский;Республика Саха (Якутия);пгт;67.5428;134.6745
пгт Комсомольский;;18781;17078;14885;14982;4046;1047;128;ГО Воркута;Республика Коми;пгт;67.55;63.78333
пгт Мыс Шмидта;;;1818;3307;4760;705;492;37;ГО Эгвекинот;Чукотский АО;пгт;68.89309;-179.4088
пгт Мульда;;3125;1736;1543;1232;183;0;12;ГО Воркута;Республика Коми;пгт;67.5;63.85
пгт Кожым;;4294;653;802;703;56;10;0;ГО Инта;Республика Коми;пгт;65.734;59.52435
пгт Промышленный;;20405;13012;10313;8648;1170;0;0;ГО Воркута;Республика Коми;пгт;67.58333;63.91667
пгт Октябрьский;;10476;6882;5233;3675;660;0;0;ГО Воркута;Республика Коми;пгт;67.56667;64.13333
пгт Росляково;;4118;5502;7633;12363;9458;8696;;ГО Мурманск;Мурманская область;пгт;69.04303;33.19906
пгт Тазовский;;;3128;4832;6827;5965;6793;;МО Тазовский;Ямало-Ненецкий АО;пгт;67.4715;78.7162
пгт Тура;1573;2039;3528;5507;7686;5836;5535;;МР Эвенкийский;Красноярский край;пгт;64.27769;100.21849
пгт Каменка;5239;6020;6898;5817;5248;3387;2582;;МР Мезенский;Архангельская область (без НАО);пгт;65.8835;44.1272
пгт Светлогорск;;;;3101;7039;1420;1014;;МР Туруханский;Красноярский край;пгт;66.93762;88.35265
пгт Тарко-Сале;;;;6216;17308;18517;;;МО Пуровский;Ямало-Ненецкий АО;пгт;64.91611;77.77457
пгт Коротчаево;;;;;9508;6998;;;ГО Новый Уренгой;Ямало-Ненецкий АО;пгт;65.91028;78.20917
пгт Уемский;;3907;3366;4905;4241;3735;;;МР Приморский;Архангельская область (без НАО);пгт;64.4743;40.8524
пгт Лимбяяха;;;;;3293;2815;;;ГО Новый Уренгой;Ямало-Ненецкий АО;пгт;66.0207;78.075
пгт Старый Надым;;;;;7001;2758;;;МО Надымский;Ямало-Ненецкий АО;пгт;65.61182;72.68417
пгт Советский;;;5773;5781;5941;2540;;;ГО Воркута;Республика Коми;пгт;67.48333;64.41667
пгт Цементнозаводский;;1531;3077;3740;4303;2246;;;ГО Воркута;Республика Коми;пгт;67.62834;64.08965
пгт Африканда;;3412;2908;2803;3544;1908;;;МО Полярные Зори;Мурманская область;пгт;67.44289;32.78279
пгт Шонгуй;;1889;1607;1743;1818;1189;;;МР Кольский;Мурманская область;пгт;68.75261;33.14595
пгт Зашеек;4567;4226;6831;3619;1958;1042;;;МО Полярные Зори;Мурманская область;пгт;67.40406;32.54803
пгт Ленинградский;;;;2665;3949;764;;;ГО Эгвекинот;Чукотский АО;пгт;69.36012;178.40103
пгт Амдерма;;3598;4516;4221;5469;650;;;МР Заполярный;Ненецкий АО;пгт;69.7576;61.6655
пгт Комсомольский;;470;1642;2166;4047;597;;;ГО Певек;Чукотский АО;пгт;69.13175;172.74368
пгт Шахтерский;;;1992;2875;3149;328;;;МР Анадырский;Чукотский АО;пгт;64.74504;177.68948
пгт Приречный;;;1322;962;684;109;;;МР Печенгский;Мурманская область;пгт;69.01428;30.29068
пгт Северный;;;;;4094;77;;;МР Усть-Янский;Республика Саха (Якутия);пгт;70.56957;134.98472
пгт Бараниха;;;1995;1957;2083;33;;;ГО Певек;Чукотский АО;пгт;68.50062;168.26541
пгт Встречный;;;1819;1572;1789;13;;;МР Билибинский;Чукотский АО;пгт;67.95;165.6
пгт Алискерово;;;1245;1170;1406;7;;;МР Билибинский;Чукотский АО;пгт;67.77604;167.52406
пгт Валькумей;;2017;3059;3417;4042;0;;;ГО Певек;Чукотский АО;пгт;69.6003;170.18371
пгт Красноармейский;;1156;1583;2324;2368;0;;;ГО Певек;Чукотский АО;пгт;69.54221;171.99288
пгт Полярные Зори;;;;11409;20070;;;;МО Полярные Зори;Мурманская область;пгт;67.36611;32.49806
пгт Билибино;;635;10693;12711;16296;;;;МР Билибинский;Чукотский АО;пгт;68.05464;166.43721
пгт Губкинский;;;;;9605;;;;ГО Губкинский;Ямало-Ненецкий АО;пгт;64.434;76.50261
пгт Иультин;;2513;4033;4115;5545;;;;ГО Эгвекинот;Чукотский АО;пгт;67.87355;-178.72973
пгт Полярный;;;;4023;5017;;;;ГО Эгвекинот;Чукотский АО;пгт;69.16329;178.71872
