transport,departure,arrival,passengers
train,Ноябрьск,Талица,33
train,Тверь,Оленегорск,54
train,Архангельск,Адлер,53
train,Рязань,Архангельск,37
train,Воркута,Россошь,51
train,Мурманск,Медвежьегорск,39
train,Инта,Котельнич,36
train,Ноябрьск,Красноуфимск,57
train,Костомукша,Суоярви,55
train,Вологда,Воркута,53
train,Инта,Лиски,69
train,Невель,Кандалакша,58
train,Ижевск,Губкинский,64
train,Губкинский,Ишим,51
train,Воркута,Котлас,37
train,Оленегорск,Сегежа,68
train,Архангельск,Белореченск,34
train,Усинск,Арзамас,46
train,Кола,Апатиты,52
train,Инта,Емва,64
train,Лабытнанги,Печора,50
train,Губкинский,Пыть-Ях,33
train,Апатиты,Оленегорск,58
train,Мичуринск,Архангельск,57
train,Ярославль,Северодвинск,43
train,Новый Уренгой,Кунгур,59
train,Сегежа,Апатиты,50
train,Киров,Ноябрьск,53
train,Медногорск,Ноябрьск,64
train,Лодейное Поле,Оленегорск,58
train,Усинск,Котельнич,61
train,Костомукша,Сортавала,63
train,Воркута,Луза,38
train,Полярные Зори,Вышний Волочёк,18
train,Новый Уренгой,Талица,16
train,Владимир,Новый Уренгой,38
train,Архангельск,Новочеркасск,37
train,Мураши,Инта,53
train,Беломорск,Медвежьегорск,17
train,Арзамас,Усинск,27
train,Воркута,Туапсе,25
train,Барабинск,Ноябрьск,53
train,Шахунья,Губкинский,25
train,Бежаницы,Мурманск,36
train,Котлас,Инта,45
train,Сегежа,Беломорск,49
train,Оленегорск,Вышний Волочёк,16
train,Урень,Новый Уренгой,39
train,Ноябрьск,Троицк,32
train,Ярославль,Лабытнанги,33
train,Белгород,Полярные Зори,48
train,Инта,Россошь,27
train,Орёл,Кандалакша,17
train,Беломорск,Мурманск,13
train,Воркута,Вельск,27
train,Ноябрьск,Нижний Тагил,33
train,Архангельск,Мичуринск,28
train,Новый Уренгой,Камбарка,43
train,Губкинский,Красноуфимск,16
train,Оленегорск,Беломорск,38
train,Кандалакша,Новгород Великий,20
train,Мурманск,Сокол,28
train,Воркута,Данилов,41
train,Апатиты,Порхов,14
train,Смоленск,Архангельск,23
train,Апатиты,Кандалакша,33
train,Усинск,Поворино,17
train,Губкинский,Камышлов,23
train,Ноябрьск,Камышлов,45
train,Кыштым,Губкинский,37
train,Сегежа,Полярные Зори,28
train,Медвежьегорск,Кемь,52
train,Архангельск,Курганинск,41
train,Ковров,Новый Уренгой,21
train,Архангельск,Тихвин,42
train,Волхов,Беломорск,46
train,Сочи,Архангельск,27
train,Невель,Кола,25
train,Сокол,Инта,49
train,Бологое,Беломорск,14
train,Апатиты,Подпорожье,53
train,Воркута,Курганинск,22
train,Емва,Воркута,15
train,Воркута,Новороссийск,18
train,Усинск,Армавир,22
train,Ноябрьск,Златоуст,46
train,Новый Уренгой,Заводоуковск,16
train,Воркута,Емва,50
train,Полярные Зори,Волхов,39
train,Вологда,Губкинский,29
train,Талица,Новый Уренгой,18
train,Тула,Апатиты,26
train,Тихвин,Архангельск,49
train,Новый Уренгой,Богданович,37
train,Инта,Пенза,40
train,Кемь,Псков,24
train,Новгород Великий,Кандалакша,29
train,Талица,Губкинский,45
train,Богданович,Губкинский,36
train,Северодвинск,Александров,18
train,Медвежьегорск,Апатиты,53
train,Губкинский,Медногорск,34
train,Кола,Орёл,44
train,Вологда,Полярные Зори,51
train,Инта,Александров,30
train,Кандалакша,Окуловка,32
train,Красноуфимск,Ноябрьск,39
train,Онега,Полярные Зори,24
train,Карталы,Губкинский,44
train,Усинск,Сочи,26
train,Воронеж,Архангельск,34
train,Воркута,Шахунья,49
train,Сегежа,Лодейное Поле,36
train,Оленегорск,Тула,38
train,Губкинский,Златоуст,16
train,Волхов,Полярные Зори,26
train,Кушва,Новый Уренгой,18
train,Тула,Мурманск,33
train,Чернушка,Губкинский,14
train,Мурманск,Тула,18
train,Оленегорск,Орёл,41
train,Санкт-Петербург,Новый Уренгой,44
train,Оленегорск,Лодейное Поле,41
train,Вологда,Ноябрьск,25
train,Орск,Губкинский,21
train,Новый Уренгой,Нижний Тагил,26
train,Красноуфимск,Губкинский,45
train,Кемь,Апатиты,40
train,Архангельск,Северодвинск,24
train,Воркута,Ростов-на-Дону,45
train,Кемь,Волхов,39
train,Няндома,Северодвинск,42
train,Губкинский,Оренбург,27
train,Бологое,Полярные Зори,26
train,Кола,Волхов,51
train,Воркута,Кропоткин,18
train,Новый Уренгой,Владимир,23
train,Ноябрьск,Кыштым,16
train,Ноябрьск,Вятские Поляны,47
train,Оленегорск,Апатиты,35
train,Ярославль,Инта,20
train,Северодвинск,Харовск,20
train,Лахденпохья,Костомукша,20
train,Белгород,Кандалакша,18
train,Печора,Лабытнанги,47
train,Губкинский,Новосибирск,13
train,Оленегорск,Бежаницы,17
train,Пенза,Воркута,21
train,Новгород Великий,Беломорск,36
train,Саранск,Воркута,42
train,Псков,Кандалакша,19
train,Вельск,Усинск,24
train,Курск,Апатиты,42
train,Усинск,Хадыженск,28
train,Северодвинск,Сокол,41
train,Бологое,Апатиты,48
train,Кемь,Медвежьегорск,16
train,Череповец,Воркута,45
train,Сосногорск,Лабытнанги,19
train,Новый Уренгой,Глазов,34
train,Ноябрьск,Кунгур,30
train,Кандалакша,Медвежьегорск,50
train,Кондопога,Мурманск,19
train,Новый Уренгой,Сим,26
train,Вельск,Воркута,37
train,Апатиты,Окуловка,43
train,Шахунья,Воркута,12
train,Бабаево,Инта,14
train,Воркута,Ртищево,47
train,Оленегорск,Псков,48
train,Камышлов,Губкинский,36
train,Татарск,Новый Уренгой,47
train,Оленегорск,Бологое,30
train,Апатиты,Кемь,41
train,Инта,Лабытнанги,37
train,Усинск,Лиски,31
train,Усинск,Вологда,26
train,Петрозаводск,Сегежа,28
train,Новый Уренгой,Череповец,35
train,Беломорск,Кемь,26
train,Полярные Зори,Бологое,22
train,Усинск,Белореченск,29
train,Инта,Тимашёвск,38
train,Верещагино,Ноябрьск,15
train,Медногорск,Губкинский,39
train,Семёнов,Усинск,17
train,Ростов Великий,Архангельск,15
train,Россошь,Усинск,52
train,Новый Уренгой,Медногорск,15
train,Можга,Новый Уренгой,16
train,Костомукша,Лахденпохья,16
train,Новый Уренгой,Аша,38
train,Котельнич,Новый Уренгой,49
train,Кропоткин,Архангельск,38
train,Новый Уренгой,Карталы,33
train,Архангельск,Ростов Великий,34
train,Миллерово,Архангельск,17
train,Инта,Котлас,47
train,Новый Уренгой,Чебаркуль,49
train,Курганинск,Архангельск,35
train,Камышлов,Ноябрьск,30
train,Воркута,Сочи,44
train,Сокол,Северодвинск,53
train,Камбарка,Губкинский,30
train,Верещагино,Новый Уренгой,28
train,Аша,Новый Уренгой,14
train,Тула,Оленегорск,43
train,Нижний Новгород,Инта,41
train,Усинск,Аркадак,44
train,Усинск,Шахунья,36
train,Порхов,Мурманск,24
train,Губкинский,Кыштым,28
train,Архангельск,Кола,21
train,Губкинский,Санкт-Петербург,38
train,Губкинский,Киров,30
train,Славянск-на-Кубани,Воркута,31
train,Мурманск,Порхов,16
train,Усинск,Кропоткин,44
