Населенный пункт;id;region;municipality;settlement;type;Население, человек;children;latitude_dms;longitude_dms;lat;lon;oktmo;dadata;rosstat;typ
д. Поньгома;40631;Республика Карелия;Кемский;Поньгома (деревня);д;44;6;65.14.41;034.27.46;65.24472222;34.46277778;86612444121;1;0;деревня
д. Унсельгорт;140560;Ямало-Ненецкий автономный округ;Шурышкарский муниципальный район;Унсельгорт;д;44;20;65.51.22;065.02.42;65.85611111;65.045;71926421;1;0;деревня
д. Целегора;110406;Архангельская область;Мезенский муниципальный район;Целегора;д;44;6;65.19.42;045.08.28;65.32833333;45.14111111;11642448101;1;0;деревня
д. Боровская;79589;Республика Коми;МР Усть-Цилемский;Боровская;д;42;0;65.14.40;051.51.46;65.24444444;51.86277778;87652435106;0;1;деревня
пос. Зубово;35515;Архангельская область;Лешуконский муниципальный район;Зубово;п;42;5;64.30.07;048.29.08;64.50194444;48.48555556;11638404131;0;1;поселок
д. Матвера;120015;Архангельская область;Пинежский муниципальный район;Матвера;д;42;9;64.21.40;044.13.11;64.36111111;44.21972222;11648427168;0;1;деревня
д. Гарево;29890;Республика Коми;МР Усть-Цилемский;Гарево;д;41;0;65.25.56;052.21.06;65.43222222;52.35166667;87652415111;0;1;деревня
д. Подкаменная Тунгуска;12841;Красноярский край;Туруханский район;Подкаменная Тунгуска;д;41;1;61.35.57;090.07.58;61.59916667;90.13277778;4654404111;0;1;деревня
д. Селище;50136;Архангельская область;Лешуконский муниципальный район;Селище;д;41;5;64.57.09;046.20.52;64.9525;46.34777778;11638424121;0;1;деревня
пос. Ватега;29887;Архангельская область;Онежский муниципальный район;Ватега;п;40;3;63.55.50;038.26.14;63.93055556;38.43722222;11646436181;0;1;поселок
д. Верховье (МР Онежский);48622;Архангельская область;Онежский муниципальный район;Верховье (МР Онежский);д;40;7;63.42.10;039.04.43;63.70277778;39.07861111;11646444141;0;1;деревня
д. Мелогора;27310;Архангельская область;Мезенский муниципальный район;Мелогора;д;40;6;65.19.36;045.10.27;65.32666667;45.17416667;11642448111;1;0;деревня
пос. Мокрая Кица;84973;Мурманская область;Кольский муниципальный район;Мокрая Кица;нп;40;5;68.38.08;033.17.52;68.63555556;33.29777778;47605404116;1;0;поселок
с. Сысы-Мейите;11693;Республика Саха (Якутия);Верхоянский;Сысы-Мейите;с;40;0;66.43.49;132.35.43;66.73027778;132.5952778;98616442106;0;1;село
пос. Хетоламбина;72507;Республика Карелия;Лоухский;Хетоламбина;п;40;3;66.21.29;033.16.46;66.35805556;33.27944444;86621430106;0;1;поселок
пос. Вочаж;30680;Республика Карелия;Кемский;Вочаж;п;39;0;64.54.32;034.15.30;64.90888889;34.25833333;86612101106;0;1;поселок
с. Киккиакки;33867;Ямало-Ненецкий автономный округ;Красноселькупский муниципальный район;Киккиакки;с;39;3;63.47.27;082.46.03;63.79083333;82.7675;71913412106;0;1;село
ст. Кица;92465;Мурманская область;Кольский муниципальный район;Кица;ж/д_ст;39;5;68.30.47;033.11.19;68.51305556;33.18861111;47605404116;0;1;станция
д. Марьина;30155;Архангельская область;Пинежский муниципальный район;Марьина;д;39;5;64.01.24;044.11.39;64.02333333;44.19416667;11648408116;0;1;деревня
пос. При 18 шлюзе ББК;123341;Республика Карелия;Беломорский;При 18 шлюзе ББК;п;39;0;64.28.45;034.44.49;64.47916667;34.74694444;86604101121;0;1;поселок
пос. Риколатва;61748;Мурманская область;Городской округ Ковдорский район;Риколатва;нп;39;0;67.29.40;031.18.58;67.49444444;31.31611111;47703000111;1;0;поселок
д. Совполье;111460;Архангельская область;Мезенский муниципальный район;Совполье;д;39;6;65.17.36;043.55.55;65.29333333;43.93194444;11642444111;0;1;деревня
пос. Журавский;140427;Республика Коми;МР Усть-Цилемский;Журавский;п;38;2;65.25.33;052.17.06;65.42583333;52.285;87652415106;0;1;поселок
д. Залесье;127444;Архангельская область;Онежский муниципальный район;Залесье;д;38;9;63.13.33;039.07.10;63.22583333;39.11944444;11646444156;0;1;деревня
с. Калгалакша;70108;Республика Карелия;Кемский;Калгалакша;с;38;0;65.45.49;034.40.12;65.76361111;34.67;86612444111;0;1;село
д. Роговая;139164;Республика Коми;ГО Инта;Роговая;д;38;2;66.32.10;060.34.01;66.53611111;60.56694444;87715000186;1;0;деревня
д. Калино;91048;Архангельская область;Мезенский муниципальный район;Калино;д;37;4;65.47.08;046.15.42;65.78555556;46.26166667;11642404105;0;1;деревня
д. Кеслома;67741;Архангельская область;Лешуконский муниципальный район;Кеслома;д;37;7;65.12.41;045.22.17;65.21138889;45.37138889;11638428126;0;1;деревня
д. Кулогора;67582;Архангельская область;Пинежский муниципальный район;Кулогора;д;37;7;64.43.29;043.28.35;64.72472222;43.47638889;11648427156;1;0;деревня
с. Бакланиха;89066;Красноярский край;Туруханский район;Бакланиха;с;36;5;64.26.40;087.32.52;64.44444444;87.54777778;4654701907;0;1;село
д. Выгостров;125993;Республика Карелия;Беломорский;Выгостров;д;36;1;64.28.48;034.39.55;64.48;34.66527778;86604101126;1;0;деревня
с. Лехта;144057;Республика Карелия;Беломорский;Лехта;с;36;1;64.25.30;033.58.39;64.425;33.9775;86604430116;0;1;село
д. Большие Карелы;75489;Архангельская область;Приморский муниципальный район;Большие Карелы;д;35;9;64.26.45;040.56.46;64.44583333;40.94611111;11652406116;0;1;деревня
д. Ижма;5378;Архангельская область;Приморский муниципальный район;Ижма;д;35;8;64.43.22;040.46.56;64.72277778;40.78222222;11652460111;0;1;деревня
пос. Чапаевск;7138;Ямало-Ненецкий автономный округ;Приуральский муниципальный район;Чапаевск;п;35;0;66.30.19;068.02.42;66.50527778;68.045;71918403116;0;1;поселок
ст. Боярская;130386;Республика Карелия;Лоухский;Боярская;ст;34;4;65.57.51;033.21.01;65.96416667;33.35027778;86621403111;0;1;станция
д. Лянецкое;67038;Архангельская область;Приморский муниципальный район;Лянецкое;д;34;9;64.29.51;040.29.15;64.4975;40.4875;11652408156;0;1;деревня
д. Нермуша;33872;Архангельская область;Онежский муниципальный район;Нермуша;д;34;4;63.06.13;039.16.49;63.10361111;39.28027778;11646444226;0;1;деревня
д. Казым-Мыс;142988;Ямало-Ненецкий автономный округ;Шурышкарский муниципальный район;Казым-Мыс;д;33;2;64.40.12;065.38.16;64.67;65.63777778;71926409106;0;1;деревня
пос. Поликарповск;10076;Красноярский край;Таймырский Долгано-Ненецкий район;Поликарповск;п;33;16;70.24.21;082.40.15;70.40583333;82.67083333;4653417136;0;1;поселок
д. Праскан;130415;Республика Коми;ГО Усинск;Праскан;д;33;8;66.18.52;056.06.35;66.31444444;56.10972222;87723000186;0;1;деревня
с. Сосновка;2261;Мурманская область;Ловозерский муниципальный район;Сосновка (село);с;33;6;66.30.36;040.35.01;66.51;40.58361111;47610401116;0;1;село
д. Амосовская;58259;Архангельская область;Онежский муниципальный район;Амосовская;д;32;0;63.49.20;038.20.09;63.82222222;38.33583333;11646436106;0;1;деревня
д. Езевец;126367;Архангельская область;Мезенский муниципальный район;Езевец;д;32;5;65.42.29;046.31.01;65.70805556;46.51694444;11642404103;0;1;деревня
с. Ковда;58430;Мурманская область;Кандалакшский муниципальный район;Ковда (село);с;32;2;66.41.34;032.52.12;66.69277778;32.87;47608158111;0;1;село
пос. Куропта;103382;Мурманская область;Городской округ Ковдорский район;Куропта;нп;32;1;67.28.53;030.50.07;67.48138889;30.83527778;47703000116;1;0;поселок
д. Мегра;41907;Архангельская область;Мезенский муниципальный район;Мегра;д;32;4;66.09.11;041.37.43;66.15305556;41.62861111;11642440111;0;1;деревня
д. Нымвожгорт;74708;Ямало-Ненецкий автономный округ;Шурышкарский муниципальный район;Нымвожгорт;д;32;0;64.53.59;063.52.13;64.89972222;63.87027778;71926418111;1;0;деревня
д. Петрова (МР Пинежский);118239;Архангельская область;Пинежский муниципальный район;Петрова (МР Пинежский);д;32;6;64.35.06;043.21.36;64.585;43.36;11648427186;0;1;деревня
с. Суччино;90461;Республика Саха (Якутия);Среднеколымский;Суччино;с;32;0;68.14.46;152.22.58;68.24611111;152.3827778;98646436106;0;1;село
д. Конецдворье;69420;Архангельская область;Приморский муниципальный район;Конецдворье;д;31;6;64.34.14;040.13.46;64.57055556;40.22944444;11652446206;0;1;деревня
пос. Кочмес (1);153557;Республика Коми;ГО Инта;Кочмес (1);п;31;2;66.21.35;060.00.52;66.35972222;60.01444444;87715000121;0;1;поселок
д. Кушкушара;136503;Архангельская область;Приморский муниципальный район;Кушкушара;д;31;8;64.57.30;040.20.58;64.95833333;40.34944444;11652460122;0;1;деревня
пос. При 16 шлюзе ББК;18480;Республика Карелия;Беломорский;При 16 шлюзе ББК;п;31;3;64.28.36;034.39.57;64.47666667;34.66583333;86604101111;0;1;поселок
д. Пушлахта;104442;Архангельская область;Приморский муниципальный район;Пушлахта;д;31;4;64.48.38;036.34.32;64.81055556;36.57555556;11652448113;0;1;деревня
д. Березник (МР Мезенский;84582;Архангельская область;Мезенский муниципальный район;Березник (МР Мезенский;д;30;7;65.28.52;044.59.34;65.48111111;44.99277778;11642424106;0;1;деревня
д. Кильца;11302;Архангельская область;Мезенский муниципальный район;Кильца;д;30;5;65.30.09;044.48.51;65.5025;44.81416667;11642424111;0;1;деревня
д. Одиночка;54229;Архангельская область;Приморский муниципальный район;Одиночка;д;30;6;64.35.18;040.26.36;64.58833333;40.44333333;11652446256;0;1;деревня
д. Сельский Бор;1983;Архангельская область;Онежский муниципальный район;Сельский Бор;д;30;6;63.35.11;039.02.30;63.58638889;39.04166667;11646444276;0;1;деревня
д. Таборы (МР Онежский);79730;Архангельская область;Онежский муниципальный район;Таборы (МР Онежский);д;30;7;63.02.59;039.16.55;63.04972222;39.28194444;11646444286;0;1;деревня
д. Хашгорт;80207;Ямало-Ненецкий автономный округ;Шурышкарский муниципальный район;Хашгорт;д;30;0;65.28.47;065.41.12;65.47972222;65.68666667;71926406;1;0;деревня
д. Красное (МР Пинежский);79523;Архангельская область;Пинежский муниципальный район;Красное (МР Пинежский);д;29;4;63.58.26;044.14.40;63.97388889;44.24444444;11648428111;0;1;деревня
д. Кривляево;119381;Архангельская область;Приморский муниципальный район;Кривляево;д;29;11;64.27.49;040.37.03;64.46361111;40.6175;11652436146;0;1;деревня
д. Сынянырд;38912;Республика Коми;ГО Усинск;Сынянырд;д;29;0;65.59.22;058.04.11;65.98944444;58.06972222;87723000191;0;1;деревня
д. Вершина-Войкар;4507;Ямало-Ненецкий автономный округ;Шурышкарский муниципальный район;Вершина-Войкар;д;28;2;65.43.30;064.12.60;65.725;64.21666667;71926412;1;0;деревня
д. Волонга;26092;Ненецкий автономный округ;Заполярный район;Волонга;д;28;1;67.07.55;047.46.19;67.13194444;47.77194444;11811459121;0;1;деревня
д. Нижняя Пулонга;153857;Республика Карелия;Лоухский;Нижняя Пулонга;д;28;0;66.18.14;033.17.00;66.30388889;33.28333333;86621430131;0;1;деревня
пос. Приречный;118198;Мурманская область;Печенгский муниципальный район;Приречный;нп;28;0;69.01.00;030.15.10;69.01666667;30.25277778;47615151121;1;0;поселок
