Населенный пункт;id;region;municipality;settlement;type;Население, человек;children;latitude_dms;longitude_dms;lat;lon;oktmo;dadata;rosstat;typ
г. Архангельск;18328;Архангельская область;Архангельск;Архангельск;г;348343;67543;64.32.35;040.32.14;64.54305556;40.53722222;11701000001;0;1;город
г. Мурманск;27232;Мурманская область;Городской округ город Мурманск;Мурманск;г;298096;54287;68.58.10;033.04.28;68.96944444;33.07444444;47701000001;0;1;город
г. Северодвинск;148205;Архангельская область;Северодвинск;Северодвинск;г;182291;36999;64.33.45;039.49.05;64.5625;39.81805556;11730000001;0;1;город
г. Норильск;96814;Красноярский край;Норильск;Норильск;г;175365;39408;69.20.57;088.12.04;69.34916667;88.20111111;4729000001;0;1;город
г. Новый Уренгой;120656;Ямало-Ненецкий автономный округ;Новый Уренгой;Новый Уренгой;г;116938;30096;66.05.02;076.40.52;66.08388889;76.68111111;71956000;1;0;город
г. Ноябрьск;78904;Ямало-Ненецкий автономный округ;Ноябрьск;Ноябрьск;г;106135;26004;63.12.06;075.27.03;63.20166667;75.45083333;71958000001;0;1;город
г. Воркута;70664;Республика Коми;ГО Воркута;Воркута;г;58745;13905;67.29.51;064.03.39;67.4975;64.06083333;87710000001;0;1;город
г. Апатиты;129415;Мурманская область;Городской округ город Апатиты с подведомственной территорией;Апатиты;г;56730;10750;67.34.04;033.24.24;67.56777778;33.40666667;47705000;1;0;город
г. Салехард;142453;Ямало-Ненецкий автономный округ;Салехард;Салехард;г;50064;13667;66.31.51;066.36.50;66.53083333;66.61388889;71951000001;0;1;город
г. Надым;55512;Ямало-Ненецкий автономный округ;Надымский муниципальный район;Надым;г;44600;10700;65.32.09;072.31.53;65.53583333;72.53138889;71916151001;0;1;город
г. Мончегорск;44216;Мурманская область;Городской округ город Мончегорск с подведомственной территорией;Мончегорск;г;42581;8534;67.56.18;032.56.09;67.93833333;32.93583333;47715000111;1;0;город
г. Новодвинск;52245;Архангельская область;Новодвинск;Новодвинск;г;38082;8117;64.24.49;040.49.15;64.41361111;40.82083333;11715000001;0;1;город
г. Усинск;116834;Республика Коми;ГО Усинск;Усинск;г;37658;9525;65.59.38;057.33.25;65.99388889;57.55694444;87723000001;0;1;город
г. Североморск;78976;Мурманская область;Городской округ ЗАТО город Североморск;Североморск;г;35875;10922;69.04.35;033.25.04;69.07638889;33.41777778;47730000001;0;1;город
г. Кандалакша;107697;Мурманская область;Кандалакшский муниципальный район;Кандалакша;г;35750;6910;67.09.24;032.24.51;67.15666667;32.41416667;47608101001;0;1;город
г. Муравленко;96899;Ямало-Ненецкий автономный округ;Муравленко;Муравленко;г;32132;8554;63.47.43;074.29.40;63.79527778;74.49444444;71955000001;0;1;город
г. Костомукша;23003;Республика Карелия;Костомукшский;Костомукша;г;29381;6172;64.35.21;030.36.06;64.58916667;30.60166667;86706000001;0;1;город
г. Кировск;7346;Мурманская область;Городской округ город Кировск с подведомственной территорией;Кировск;г;28832;5354;67.36.54;033.39.49;67.615;33.66361111;47712000;1;0;город
г. Инта;45508;Республика Коми;ГО Инта;Инта;г;28831;5157;66.02.12;060.06.55;66.03666667;60.11527778;87715000001;0;1;город
г. Губкинский;131226;Ямало-Ненецкий автономный округ;Губкинский;Губкинский;г;28564;7063;64.25.57;076.30.02;64.4325;76.50055556;71952000001;0;1;город
г. Сегежа;128956;Республика Карелия;Сегежский;Сегежа;г;27108;5236;63.44.37;034.18.45;63.74361111;34.3125;86645101001;0;1;город
г. Лабытнанги;98520;Ямало-Ненецкий автономный округ;Лабытнанги;Лабытнанги;г;26211;6231;66.39.34;066.23.18;66.65944444;66.38833333;71953000001;0;1;город
г. Нарьян-Мар;126756;Ненецкий автономный округ;Город Нарьян-Мар;Нарьян-Мар;г;24921;5734;67.38.17;053.00.25;67.63805556;53.00694444;11851000001;0;1;город
г. Дудинка;55322;Красноярский край;Таймырский Долгано-Ненецкий район;Дудинка;г;22175;5014;69.24.20;086.10.40;69.40555556;86.17777778;4653101001;0;1;город
г. Тарко-Сале;119258;Ямало-Ненецкий автономный округ;Пуровский муниципальный район;Тарко-Сале;г;21665;6598;64.54.43;077.45.40;64.91194444;77.76111111;71920105001;0;1;город
г. Оленегорск;113941;Мурманская область;Городской округ город Оленегорск с подведомственной территорией;Оленегорск (город);г;21039;5162;68.08.31;033.16.01;68.14194444;33.26694444;47717000;1;0;город
г. Онега;147390;Архангельская область;Онежский муниципальный район;Онега;г;18830;4411;63.54.25;038.06.01;63.90694444;38.10027778;11646101001;0;1;город
г. Заполярный (Мурманская обл.);119309;Мурманская область;Печенгский муниципальный район;Заполярный (Мурманская обл.);г;17396;3652;69.25.34;030.49.13;69.42611111;30.82027778;47615103001;0;1;город
г. Ковдор;141960;Мурманская область;Городской округ Ковдорский район;Ковдор;г;16892;3511;67.33.46;030.28.26;67.56277778;30.47388889;47703000001;0;1;город
г. Полярный;22742;Мурманская область;Городской округ ЗАТО Александровск;Полярный;г;15663;4302;69.11.56;033.27.03;69.19888889;33.45083333;47737000001;0;1;город
г. Снежногорск;98905;Мурманская область;Городской округ ЗАТО Александровск;Снежногорск (город);г;14688;3391;69.11.31;033.14.17;69.19194444;33.23805556;47737000011;1;0;город
г. Анадырь;143217;Чукотский автономный округ;Анадырь;Анадырь;г;14654;3775;64.44.05;177.30.53;64.73472222;177.5147222;77701000001;0;1;город
г. Полярные Зори;85768;Мурманская область;Городской округ город Полярные Зори с подведомственной территорией;Полярные Зори;г;14644;3163;67.22.22;032.29.51;67.37277778;32.4975;47719000;1;0;город
г. Кола;46673;Мурманская область;Кольский муниципальный район;Кола;г;13706;2270;68.52.43;033.01.34;68.87861111;33.02611111;47605101001;0;1;город
пгт Никель;60023;Мурманская область;Печенгский муниципальный район;Никель;пгт;13103;2444;69.24.38;030.12.40;69.41055556;30.21111111;47615151051;1;0;пгт
г. Кемь;25302;Республика Карелия;Кемский;Кемь;г;11604;3456;64.57.16;034.35.42;64.95444444;34.595;86612101001;0;1;город
пгт Мурмаши;37243;Мурманская область;Кольский муниципальный район;Мурмаши;пгт;11184;2100;68.48.54;032.48.44;68.815;32.81222222;47605163051;1;0;пгт
пгт Воргашор;133181;Республика Коми;ГО Воркута;Воргашор;пгт;10954;1791;67.35.16;063.47.49;67.58777778;63.79694444;87710000056;1;0;пгт
пгт Пангоды;25912;Ямало-Ненецкий автономный округ;Надымский муниципальный район;Пангоды;пгт;10737;2874;65.51.29;074.29.26;65.85805556;74.49055556;71916156051;1;0;пгт
пгт Уренгой;67514;Ямало-Ненецкий автономный округ;Пуровский муниципальный район;Уренгой;пгт;10082;2048;65.57.43;078.22.22;65.96194444;78.37277778;71920159051;1;0;пгт
г. Беломорск;58421;Республика Карелия;Беломорский;Беломорск;г;10052;2215;64.31.23;034.46.00;64.52305556;34.76666667;86604101001;0;1;город
г. Заозерск;122780;Мурманская область;Городской округ ЗАТО город Заозёрск;Заозерск;г;10019;2385;69.24.01;032.27.00;69.40027778;32.45;47733000001;0;1;город
г. Гаджиево;53059;Мурманская область;Городской округ ЗАТО Александровск;Гаджиево;г;9694;3678;69.14.56;033.18.54;69.24888889;33.315;47737000005;0;1;город
пос. Пурпе;99348;Ямало-Ненецкий автономный округ;Пуровский муниципальный район;Пурпе;п;9598;1998;64.28.35;076.41.37;64.47638889;76.69361111;71920409101;0;1;поселок
пос. Высокий;149837;Мурманская область;Городской округ город Оленегорск с подведомственной территорией;Высокий;нп;8704;1328;68.08.06;033.24.43;68.135;33.41194444;47717000111;1;0;поселок
пгт Ревда;70859;Мурманская область;Ловозерский муниципальный район;Ревда;пгт;7873;1360;67.56.31;034.33.10;67.94194444;34.55277778;47610154;1;0;пгт
пгт Надвоицы;105095;Республика Карелия;Сегежский;Надвоицы;пгт;7690;1102;63.53.38;034.15.59;63.89388889;34.26638889;86645160111;0;1;пгт
с. Яр-Сале;19480;Ямало-Ненецкий автономный округ;Ямальский муниципальный район;Яр-Сале;с;7413;2862;66.51.40;070.50.22;66.86111111;70.83944444;71928417101;0;1;село
пос. Тазовский;100938;Ямало-Ненецкий автономный округ;Тазовский муниципальный район;Тазовский;п;7201;2787;67.28.27;078.42.52;67.47416667;78.71444444;71923401101;0;1;поселок
пгт Искателей;141716;Ненецкий автономный округ;Заполярный район;Искателей;рп;7128;2320;67.40.33;053.07.00;67.67583333;53.11666667;11811111051;0;1;пгт
г. Билибино;135927;Чукотский автономный округ;Билибинский район;Билибино;г;6102;1583;68.03.24;166.27.08;68.05666667;166.4522222;77609101001;0;1;город
пгт Молочный;8695;Мурманская область;Кольский муниципальный район;Молочный;пгт;6080;1279;68.51.18;033.01.08;68.855;33.01888889;47605161051;1;0;пгт
пгт Харп;30964;Ямало-Ненецкий автономный округ;Приуральский муниципальный район;Харп;пгт;6053;1091;66.48.54;065.47.57;66.815;65.79916667;71918169;1;0;пгт
пгт Северный;32556;Республика Коми;ГО Воркута;Северный;пгт;5867;1077;67.36.00;064.06.05;67.6;64.10138889;87710000001;1;0;пгт
пос. Тура;89556;Красноярский край;Эвенкийский район;Тура;п;5535;1494;64.16.20;100.12.23;64.27222222;100.2063889;4650402101;0;1;поселок
пгт Сафоново;16690;Мурманская область;Городской округ ЗАТО город Североморск;Сафоново (пгт);пгт;5350;1328;69.03.22;033.17.31;69.05611111;33.29194444;47730000061;1;0;пгт
г. Игарка;104272;Красноярский край;Туруханский район;Игарка;г;5117;1350;67.28.00;086.34.53;67.46666667;86.58138889;4654117001;0;1;город
пгт Зеленоборский;112651;Мурманская область;Кандалакшский муниципальный район;Зеленоборский;пгт;5096;901;66.50.45;032.22.03;66.84583333;32.3675;47608158051;1;0;пгт
с. Алакуртти;29725;Мурманская область;Кандалакшский муниципальный район;Алакуртти;с;5079;1355;66.57.57;030.20.59;66.96583333;30.34972222;47608403101;0;1;село
с. Аксарка;54222;Ямало-Ненецкий автономный округ;Приуральский муниципальный район;Аксарка;с;4990;1360;66.33.29;067.48.17;66.55805556;67.80472222;71918403101;0;1;село
с. Туруханск;95696;Красноярский край;Туруханский район;Туруханск;с;4662;1106;65.47.35;087.57.33;65.79305556;87.95916667;4654434101;0;1;село
с. Усть-Цильма;100484;Республика Коми;МР Усть-Цилемский;Усть-Цильма;с;4638;1317;65.26.26;052.09.16;65.44055556;52.15444444;87652440101;0;1;село
пос. Видяево;12591;Мурманская область;Городской округ ЗАТО посёлок Видяево;Видяево;рп;4632;1332;69.19.06;032.47.33;69.31833333;32.7925;47735000;1;0;поселок
пос. Тикси;101403;Республика Саха (Якутия);Булунский;Тикси;п;4602;1102;71.38.01;128.51.57;71.63361111;128.8658333;98612151051;0;1;поселок
пгт Умба;56229;Мурманская область;Терский муниципальный район;Умба;пгт;4552;860;66.41.05;034.20.39;66.68472222;34.34416667;47620151;1;0;пгт
пос. Ханымей;89959;Ямало-Ненецкий автономный округ;Пуровский муниципальный район;Ханымей;п;4372;911;63.43.25;075.57.42;63.72361111;75.96166667;71920417101;0;1;поселок
с. Мужи;79648;Ямало-Ненецкий автономный округ;Шурышкарский муниципальный район;Мужи;с;4241;1188;65.24.02;064.42.20;65.40055556;64.70555556;71926412101;0;1;село
с. Карпогоры;61236;Архангельская область;Пинежский муниципальный район;Карпогоры;с;4108;941;64.00.02;044.26.57;64.00055556;44.44916667;11648408101;1;0;село
г. Певек;152547;Чукотский автономный округ;Чаунский район;Певек;г;4034;828;69.42.12;170.17.59;69.70333333;170.2997222;77705000001;1;0;город
пгт Лоухи;74180;Республика Карелия;Лоухский;Лоухи;пгт;3971;950;66.04.32;033.02.29;66.07555556;33.04138889;86621151051;1;0;пгт
с. Красноселькуп;23314;Ямало-Ненецкий автономный округ;Красноселькупский муниципальный район;Красноселькуп;с;3907;1179;65.42.13;082.27.14;65.70361111;82.45388889;71913406000;0;1;село
пгт Калевала;63740;Республика Карелия;Калевальский национальный;Калевала;пгт;3902;1604;65.11.52;031.11.04;65.19777778;31.18444444;86609151051;1;0;пгт
с. Лешуконское;68551;Архангельская область;Лешуконский муниципальный район;Лешуконское;с;3888;932;64.53.53;045.45.33;64.89805556;45.75916667;11638408101;0;1;село
пос. Уемский;126636;Архангельская область;Приморский муниципальный район;Уемский;п;3660;987;64.28.33;040.51.45;64.47583333;40.8625;11652466101;0;1;поселок
пос. Угольные Копи;44174;Чукотский автономный округ;Анадырский район;Угольные Копи;п;3621;725;64.44.29;177.41.23;64.74138889;177.6897222;77603157051;1;0;поселок
пос. Белоярск;53489;Ямало-Ненецкий автономный округ;Приуральский муниципальный район;Белоярск;п;3614;954;66.52.05;068.08.35;66.86805556;68.14305556;71918418101;0;1;поселок
с. Гыда;125060;Ямало-Ненецкий автономный округ;Тазовский муниципальный район;Гыда;с;3614;1216;70.53.36;078.29.06;70.89333333;78.485;71923406000;0;1;село
пгт Батагай;146436;Республика Саха (Якутия);Верхоянский;Батагай;пгт;3559;1219;67.39.13;134.37.55;67.65361111;134.6319444;98616151051;0;1;пгт
г. Среднеколымск;35829;Республика Саха (Якутия);Среднеколымский;Среднеколымск;г;3471;1114;67.27.33;153.42.41;67.45916667;153.7113889;98646101001;0;1;город
с. Жиганск;106943;Республика Саха (Якутия);Жиганский национальный эвенкийский;Жиганск;с;3371;1181;66.46.03;123.22.27;66.7675;123.3741667;98622410101;0;1;село
пос. Катунино;143613;Архангельская область;Приморский муниципальный район;Катунино;п;3352;927;64.23.30;040.37.32;64.39166667;40.62555556;11652420101;0;1;поселок
пос. Талажский авиагородок;137871;Архангельская область;Архангельск;Талажский авиагородок;п;3324;678;64.35.20;040.42.24;64.58888889;40.70666667;11701000126;1;0;поселок
г. Мезень;89291;Архангельская область;Мезенский муниципальный район;Мезень;г;3248;786;65.50.24;044.15.11;65.84;44.25305556;11642101001;0;1;город
пгт Белушья Губа;4000;Архангельская область;Новая Земля;Белушья Губа;рп;3151;416;71.32.15;052.19.58;71.5375;52.33277778;11712000051;0;1;пгт
пгт Депутатский;3172;Республика Саха (Якутия);Усть-Янский;Депутатский;пгт;2968;714;69.20.27;139.57.02;69.34083333;139.9505556;98656151051;0;1;пгт
пгт Эгвекинот;21357;Чукотский автономный округ;Иультинский район;Эгвекинот;рп;2897;731;66.19.17;-179.07.19;66.32138889;-179.115093;77715000051;1;0;пгт
пос. Лесная речка;30849;Архангельская область;Архангельск;Лесная речка;п;2765;508;64.24.55;040.38.04;64.41527778;40.63444444;11701000111;0;1;поселок
пос. Зырянка;152938;Республика Саха (Якутия);Верхнеколымский;Зырянка;п;2729;623;65.44.04;150.53.52;65.73444444;150.8977778;98615151051;0;1;поселок
с. Сеяха;31592;Ямало-Ненецкий автономный округ;Ямальский муниципальный район;Сеяха;с;2714;1046;70.10.04;072.30.40;70.16777778;72.51111111;71928407000;0;1;село
пос. Пуровск;17154;Ямало-Ненецкий автономный округ;Пуровский муниципальный район;Пуровск;п;2701;676;64.56.34;077.36.28;64.94277778;77.60777778;71920408101;0;1;поселок
с. Антипаюта;72818;Ямало-Ненецкий автономный округ;Тазовский муниципальный район;Антипаюта;с;2685;1009;69.06.05;076.51.54;69.10138889;76.865;71923403000;0;1;село
пос. Пинега;111520;Архангельская область;Пинежский муниципальный район;Пинега;п;2653;659;64.41.51;043.23.30;64.6975;43.39166667;11648427101;0;1;поселок
с. Хатанга;29144;Красноярский край;Таймырский Долгано-Ненецкий район;Хатанга;с;2645;615;71.58.48;102.28.09;71.98;102.4691667;4653419101;0;1;село
пос. Черский;13347;Республика Саха (Якутия);Нижнеколымский;Черский;п;2550;751;68.45.07;161.19.48;68.75194444;161.33;98637151051;0;1;поселок
с. Ловозеро;90436;Мурманская область;Ловозерский муниципальный район;Ловозеро;с;2522;625;68.00.16;035.00.50;68.00444444;35.01388889;47610401101;0;1;село
пос. Бор (МР Туруханский);120964;Красноярский край;Туруханский район;Бор (МР Туруханский);п;2496;611;61.35.40;090.01.40;61.59444444;90.02777778;4654404101;0;1;поселок
с. Саскылах;73623;Республика Саха (Якутия);Анабарский национальный;Саскылах;с;2438;792;71.57.55;114.05.32;71.96527778;114.0922222;98610411101;0;1;село
с. Панаевск;48349;Ямало-Ненецкий автономный округ;Ямальский муниципальный район;Панаевск;с;2433;861;66.44.42;070.05.10;66.745;70.08611111;71928405000;0;1;село
пгт Чупа;119434;Республика Карелия;Лоухский;Чупа;пгт;2409;370;66.16.11;033.03.06;66.26972222;33.05166667;86621170106;0;1;пгт
пгт Кильдинстрой;146525;Мурманская область;Кольский муниципальный район;Кильдинстрой;пгт;2382;611;68.48.15;033.05.44;68.80416667;33.09555556;47605158051;1;0;пгт
с. Тулома;11889;Мурманская область;Кольский муниципальный район;Тулома;с;2352;578;68.49.05;032.41.32;68.81805556;32.69222222;47605406101;0;1;село
пгт Малошуйка;58018;Архангельская область;Онежский муниципальный район;Малошуйка;рп;2351;555;63.42.26;037.27.11;63.70722222;37.45305556;11646162051;0;1;пгт
с. Оленек;57515;Республика Саха (Якутия);Оленёкский национальный эвенкийский;Оленек;с;2246;814;68.30.09;112.26.50;68.5025;112.4472222;98642437;1;0;село
пос. 27 км железной дороги Мончегорск-Оленья;84079;Мурманская область;Городской округ город Мончегорск с подведомственной территорией;27 км железной дороги Мончегорск-Оленья;нп;2238;821;67.58.22;032.56.29;67.97277778;32.94138889;47715000116;1;0;поселок
с. Хонуу;78259;Республика Саха (Якутия);Момский национальный;Хонуу;с;2155;886;66.27.18;143.13.11;66.455;143.2197222;98633423101;0;1;село
пос. Провидения;2430;Чукотский автономный округ;Провиденский;Провидения;п;2151;531;64.25.43;-173.13.02;64.42861111;-173.21892;77710000051;1;0;поселок
пос. Чокурдах;85684;Республика Саха (Якутия);Аллаиховский;Чокурдах;п;2068;609;70.37.10;147.53.54;70.61944444;147.8983333;98606151051;0;1;поселок
пгт Белая Гора;147064;Республика Саха (Якутия);Абыйский;Белая Гора;пгт;2026;596;68.32.15;146.11.36;68.5375;146.1933333;98601151;1;0;пгт
с. Самбург;149657;Ямало-Ненецкий автономный округ;Пуровский муниципальный район;Самбург;с;2001;820;67.00.13;078.13.26;67.00361111;78.22388889;71920407000;0;1;село
пгт Каменка (Архангельская обл.);67248;Архангельская область;Мезенский муниципальный район;Каменка (Архангельская обл.);рп;1947;483;65.53.15;044.07.02;65.8875;44.11722222;11642157051;0;1;пгт
пос. Талаги;119731;Архангельская область;Приморский муниципальный район;Талаги;п;1944;361;64.37.21;040.40.07;64.6225;40.66861111;11652460101;0;1;поселок
с. Батагай-Алыта;115283;Республика Саха (Якутия);Эвено-Бытантайский национальный;Батагай-Алыта;с;1861;622;67.47.54;130.24.05;67.79833333;130.4013889;98659420101;0;1;село
д. Рикасиха ;69254;Архангельская область;Приморский муниципальный район;Рикасиха ;д;1854;475;64.32.17;040.10.14;64.53805556;40.17055556;11652452101;0;1;деревня
пос. Толька;81318;Ямало-Ненецкий автономный округ;Красноселькупский муниципальный район;Толька (поселок);п;1853;456;64.00.26;082.02.58;64.00722222;82.04944444;71913412101;0;1;поселок
с. Ныда;45865;Ямало-Ненецкий автономный округ;Надымский муниципальный район;Ныда;с;1841;556;66.37.45;072.55.25;66.62916667;72.92361111;71916404000;0;1;село
г. Островной;41830;Мурманская область;Городской округ ЗАТО город Островной;Островной;г;1799;347;68.03.27;039.29.14;68.0575;39.48722222;47731000001;0;1;город
с. Горки;89771;Ямало-Ненецкий автономный округ;Шурышкарский муниципальный район;Горки;с;1795;520;65.03.19;065.16.26;65.05527778;65.27388889;71926406;1;0;село
пос. Рабочеостровск;26129;Республика Карелия;Кемский;Рабочеостровск;п;1770;568;64.59.00;034.44.52;64.98333333;34.74777778;86612460101;0;1;поселок
с. Новый Порт;92954;Ямало-Ненецкий автономный округ;Ямальский муниципальный район;Новый Порт;с;1764;590;67.41.37;072.53.51;67.69361111;72.8975;71928414000;0;1;село
с. Газ-Сале;59781;Ямало-Ненецкий автономный округ;Тазовский муниципальный район;Газ-Сале;с;1735;657;67.21.50;079.00.14;67.36388889;79.00388889;71923405000;0;1;село
пгт Пяозерский;10092;Республика Карелия;Лоухский;Пяозерский;пгт;1723;319;65.45.52;031.04.59;65.76444444;31.08305556;86621162051;1;0;пгт
пос. Носок;58104;Красноярский край;Таймырский Долгано-Ненецкий район;Носок;п;1692;753;70.09.51;082.20.42;70.16416667;82.345;4653417131;0;1;поселок
пгт Печенга;92809;Мурманская область;Печенгский муниципальный район;Печенга;пгт;1679;540;69.33.15;031.13.07;69.55416667;31.21861111;47615162051;1;0;пгт
пос. Титан;77285;Мурманская область;Городской округ город Кировск с подведомственной территорией;Титан;нп;1606;277;67.33.37;033.38.11;67.56027778;33.63638889;47712000;1;0;поселок
с. Лаврентия;104978;Чукотский автономный округ;Чукотский район;Лаврентия;с;1601;517;65.35.06;-172.59.02;65.585;-171.01105;77633420101;0;1;село
пос. Спутник;86915;Мурманская область;Печенгский муниципальный район;Спутник;нп;1583;402;69.30.39;031.18.46;69.51083333;31.31277778;47615162121;1;0;поселок
пос. Африканда;86471;Мурманская область;Городской округ город Полярные Зори с подведомственной территорией;Африканда;нп;1527;313;67.26.34;032.46.03;67.44277778;32.7675;47719000111;1;0;поселок
пос. Енский;79678;Мурманская область;Городской округ Ковдорский район;Енский;нп;1520;164;67.34.56;031.09.18;67.58222222;31.155;47703000106;1;0;поселок
пгт Верхнетуломский;60894;Мурманская область;Кольский муниципальный район;Верхнетуломский;пгт;1516;176;68.36.26;031.47.58;68.60722222;31.79944444;47605154051;1;0;пгт
пос. Североморск-3;110566;Мурманская область;Городской округ ЗАТО город Североморск;Североморск-3;нп;1502;763;68.53.06;033.44.03;68.885;33.73416667;47730000106;1;0;поселок
пос. Боровой;87195;Республика Карелия;Калевальский национальный;Боровой;п;1475;290;64.36.45;032.14.11;64.6125;32.23638889;86609405101;0;1;поселок
пос. Зверосовхоз;19673;Мурманская область;Кольский муниципальный район;Зверосовхоз;нп;1462;236;68.50.34;033.05.26;68.84277778;33.09055556;47605158116;1;0;поселок
пос. Сосновец;144698;Республика Карелия;Беломорский;Сосновец;п;1441;263;64.25.40;034.28.24;64.42777778;34.47333333;86604430101;0;1;поселок
пгт Заполярный (Респ. Коми);148384;Республика Коми;ГО Воркута;Заполярный (Респ. Коми);пгт;1427;191;67.29.47;063.43.48;67.49638889;63.73;87710000066;1;0;пгт
с. Мыс-Каменный;97187;Ямало-Ненецкий автономный округ;Ямальский муниципальный район;Мыс-Каменный;с;1373;490;68.30.45;073.34.05;68.5125;73.56805556;71928404;1;0;село
пос. Лонгъюган;60009;Ямало-Ненецкий автономный округ;Надымский муниципальный район;Лонгъюган;п;1360;353;64.46.53;070.57.04;64.78138889;70.95111111;71916403101;0;1;поселок
пос. Летнереченский;96288;Республика Карелия;Беломорский;Летнереченский;п;1359;283;64.16.56;034.22.59;64.28222222;34.38305556;86604409101;0;1;поселок
с. Овгорт;9515;Ямало-Ненецкий автономный округ;Шурышкарский муниципальный район;Овгорт;с;1319;402;64.49.44;063.58.17;64.82888889;63.97138889;71926418;1;0;село
пос. Красное;67592;Ненецкий автономный округ;Заполярный район;Красное;п;1306;378;67.50.07;053.36.05;67.83527778;53.60138889;11811461101;0;1;поселок
с. Находка;39673;Ямало-Ненецкий автономный округ;Тазовский муниципальный район;Находка;с;1305;287;67.43.20;077.33.04;67.72222222;77.55111111;71923409000;0;1;село
пос. Лиинахамари;153065;Мурманская область;Печенгский муниципальный район;Лиинахамари;нп;1296;275;69.38.15;031.20.39;69.6375;31.34416667;47615162111;1;0;поселок
с. Лорино;38847;Чукотский автономный округ;Чукотский район;Лорино;с;1262;507;65.30.11;-171.42.02;65.50305556;-170.299444;77633423101;0;1;село
пос. Боброво (поселок);69717;Архангельская область;Приморский муниципальный район;Боброво (поселок);п;1261;234;64.21.20;041.09.05;64.35555556;41.15138889;11652406101;0;1;поселок
пос. Междуреченский;32915;Архангельская область;Пинежский муниципальный район;Междуреченский;п;1261;284;64.02.58;044.25.50;64.04944444;44.43055556;11648422101;0;1;поселок
пос. Корзуново;43410;Мурманская область;Печенгский муниципальный район;Корзуново;нп;1251;442;69.23.47;031.00.18;69.39638889;31.005;47615406101;1;0;поселок
пос. Приозерный;3915;Ямало-Ненецкий автономный округ;Надымский муниципальный район;Приозерный;п;1230;330;64.16.14;071.05.46;64.27055556;71.09611111;71916414101;0;1;поселок
с. Несь;42761;Ненецкий автономный округ;Заполярный район;Несь;с;1223;269;66.36.03;044.40.45;66.60083333;44.67916667;11811443101;0;1;село
с. Кюсюр;222;Республика Саха (Якутия);Булунский;Кюсюр;с;1218;423;70.41.10;127.21.42;70.68611111;127.3616667;98612412101;0;1;село
пос. Сия;151265;Архангельская область;Пинежский муниципальный район;Сия;п;1217;242;64.01.26;043.10.57;64.02388889;43.1825;11648431101;0;1;поселок
пос. Нивский;88345;Мурманская область;Кандалакшский муниципальный район;Нивский;нп;1201;240;67.18.02;032.29.14;67.30055556;32.48722222;47608101;1;0;поселок
пос. Правохеттинский;142568;Ямало-Ненецкий автономный округ;Надымский муниципальный район;Правохеттинский;п;1192;320;65.26.57;073.31.55;65.44916667;73.53194444;71916412101;0;1;поселок
пос. Ширшинский;141339;Архангельская область;Приморский муниципальный район;Ширшинский;п;1185;173;64.24.40;040.44.11;64.41111111;40.73638889;11652436246;0;1;поселок
с. Казачье;36564;Республика Саха (Якутия);Усть-Янский;Казачье;с;1175;387;70.44.40;136.12.29;70.74444444;136.2080556;98656405101;0;1;село
с. Юрюнг-Хая;75251;Республика Саха (Якутия);Анабарский национальный;Юрюнг-Хая;с;1159;443;72.48.43;113.13.56;72.81194444;113.2322222;98610424101;0;1;село
пос. Оленья Губа;2086;Мурманская область;Городской округ ЗАТО Александровск;Оленья Губа;нп;1150;136;69.12.46;033.22.16;69.21277778;33.37111111;47737000011;1;0;поселок
пос. 25 км железной дороги Мончегорск-Оленья;129965;Мурманская область;Городской округ город Мончегорск с подведомственной территорией;25 км железной дороги Мончегорск-Оленья;нп;1136;45;67.59.15;032.58.43;67.9875;32.97861111;47715000111;1;0;поселок
пос. Васьково;132357;Архангельская область;Приморский муниципальный район;Васьково;п;1127;171;64.24.46;040.27.30;64.41277778;40.45833333;11652436243;0;1;поселок
пос. Шонгуй;81841;Мурманская область;Кольский муниципальный район;Шонгуй;нп;1126;190;68.44.35;033.09.18;68.74305556;33.155;47605158106;1;0;поселок
д. Большое Анисимово;75592;Архангельская область;Приморский муниципальный район;Большое Анисимово;д;1125;219;64.28.58;040.30.15;64.48277778;40.50416667;11652408101;0;1;деревня
пгт Беринговский;144247;Чукотский автономный округ;Анадырский район;Беринговский;пгт;1109;284;63.03.40;179.21.04;63.06111111;179.3511111;77603159;1;0;пгт
г. Верхоянск;295;Республика Саха (Якутия);Верхоянский;Верхоянск;г;1095;250;67.33.00;133.23.00;67.55;133.3833333;98616103001;0;1;город
пос. Междуречье;81580;Мурманская область;Кольский муниципальный район;Междуречье;нп;1054;213;69.01.57;032.56.26;69.0325;32.94055556;47605402101;1;0;поселок
пос. Ясный;23744;Архангельская область;Пинежский муниципальный район;Ясный;п;1054;225;64.02.13;044.05.21;64.03694444;44.08916667;11648452101;0;1;поселок
пос. Светлогорск;2670;Красноярский край;Туруханский район;Светлогорск;п;1014;255;66.56.09;088.21.42;66.93583333;88.36166667;4654439101;1;0;поселок
пос. Коашва;28776;Мурманская область;Городской округ город Кировск с подведомственной территорией;Коашва;нп;1008;159;67.36.31;034.10.44;67.60861111;34.17888889;47712000106;1;0;поселок
с. Усть-Уса;3299;Республика Коми;ГО Усинск;Усть-Уса;с;1008;203;65.58.45;056.54.48;65.97916667;56.91333333;87723000146;0;1;село
пос. Пушной;135166;Мурманская область;Кольский муниципальный район;Пушной;нп;997;173;68.28.38;033.19.08;68.47722222;33.31888889;47605404101;1;0;поселок
